movie_id,director,leads
FS20175121,타이카 와이티티,크리스 헴스워스|톰 히들스턴|케이트 블란쳇
FS20177221,루벤 플레셔,톰 하디|미쉘 윌리엄스|리즈 아메드
FS20139201,조범구,정우성|안성기|이범수
FS20176104,최성현,이병헌(김조하)|윤여정|박정민(오진태)
FS20167904,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록
FS20124066,정지우,박해일(이적요)|김무열(서지우)|김고은(한은교)
FS20124935,조진규,박신양(광호)|김정태(태주)|엄지원(명보살)
FS20184462,원신연,유해진(황해철)|류준열(이장하)|조우진(마병구)
FS20124083,류승완,하정우(표종성)|한석규(정진수)|류승범(동명수)
FS20198414,최정열,마동석(거석이형)|박정민(고택일)|정해인(우상필)
FS20224882,박훈정,신시아(소녀)|박은빈(경희)|서은수(조현)
FS20161725,조의석,이병헌(진회장)|강동원(김재명)|김우빈(박장군)
FS20166488,알렉스 커츠먼,톰 크루즈|소피아 부텔라|애나벨 월리스
FS20154910,김성훈,하정우|배두나|오달수
FS20151383,리들리 스콧,맷 데이먼|제시카 차스테인|제프 다니엘스
FS20199883,이철하,엄정화(이미영)|박성웅(오석환)|이상윤(리철승)
FS20113554,민규동,임수정(정인)|이선균(두현)|류승룡(성기)
FS20148493,조스 웨던,로버트 다우니 주니어|크리스 헴스워스|마크 러팔로
FS20180939,우민호,이병헌(김규평)|이성민(박통)|곽도원(박용각)
FS20180290,제임스 완,제이슨 모모아|앰버 허드|니콜 키드먼
FS20148855,곽경택,김윤석(공길용)|유해진(김중산)
FS20121621,쉐인 블랙,로버트 다우니 주니어(토니 스타크)|기네스 팰트로우(페퍼 포츠)|벤 킹슬리(만다린)
FS20149314,우민호,이병헌(안상구)|조승우(우장훈)|백윤식(이강희)
FS20181181,크리스토퍼 맥쿼리,톰 크루즈|레베카 퍼거슨|바네사 커비
FS20181434,리건,권상우(귀수)|김희원(똥선생)|김성균(허일도)
FS20123681,박영균,이선(뽀로로)
FS20193321,장유정,라미란(주상숙)|김무열(박희철)|나문희(김옥희)
FS20139183,이재규,현빈(정조)|정재영|조정석
FS20177552,최국희,김혜수(한시현)|유아인|허준호
FS20140431,웨스 볼,딜런 오브라이언|카야 스코델라리오|윌 폴터
FS20176251,강효진,박성웅(판수)|진영(동현)|라미란(미선)
FS20159646,김지운,송강호|공유
FS20135428,리차드 커티스,레이첼 맥아담스(메리)|도널 글리슨(팀)|빌 나이
FS20126469,빌 콘돈,크리스틴 스튜어트|로버트 패틴슨|테일러 로트너
FS20184572,권오광,박정민(도일출)|류승범(애꾸)|최유화(마돈나)
FS20145503,장재현,김윤석|강동원
FS20122089,크리스 리노드,알 파치노|스티브 카렐|미란다 코스그로브
FS20192101,최원섭,권상우(준)|정준호(덕규)|황우슬혜(미나)
FS20194376,조셉 코신스키,톰 크루즈|마일즈 텔러|제니퍼 코넬리
FS20161481,류승완,황정민(이강옥)|소지섭(최칠성)|송중기(박무영)
FS20152022,낸시 마이어스,앤 해서웨이|로버트 드 니로|르네 루소
FS20178161,이언희,권상우(강대만)|성동일(노태수)|김수영(손담비 대역)
FS20122122,마크 포스터,브래드 피트(제리 레인)|미레유 에노스(카린 레인)|매튜 폭스
FS20040598,알폰소 쿠아론,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트
FS20126674,봉준호,크리스 에반스|송강호|에드 해리스
FS20156557,김정훈,권상우|성동일
FS20196270,김지훈,차승원(정만수)|김성균(박동원)|이광수(김승현)
FS20179101,윤종빈,황정민|이성민(리명운)|조진웅(학성)
FS20174846,김현호,이선(뽀로로 목소리 )|이미자(크롱 목소리 )|함수정(에디 목소리 )
FS20126672,장철수,김수현(원류환)|박기웅(리해랑)|이현우(리해진)
FS20123501,윤종빈,하정우|강동원|조진웅(이태기)
FS20138881,루이스 리테리어,제시 아이젠버그(마이클 아틀라스)|마크 러팔로(딜런 홉스)|우디 해럴슨(메리트 오스본)
FS20112695,이한,김윤석(동주 )|유아인
FS20193450,연상호,강동원(한정석)|이정현(민정)
FS20149120,크리스토퍼 놀란,매튜 매커너히|앤 해서웨이|마이클 케인
FS20122783,조의석,설경구(황반장)|정우성(제임스)|한효주(하윤주)
FS20180868,한준희,공효진(시연)|류준열(민재)|조정석(재철)
FS20136049,허정,손현주|문정희|전미선(민지)
FS20159364,안소니 루소,크리스 에반스|로버트 다우니 주니어|스칼렛 요한슨
FS20143580,제임스 완,빈 디젤|폴 워커|드웨인 존슨
FS20184082,정다원,라미란(박미영)|이성경(조지혜 역)|윤상현(조지철)
FS20163603,제임스 건,크리스 프랫|조 샐다나|데이브 바티스타
FS20158621,폴 페이그,주드 로|제이슨 스타뎀|멜리사 맥카시
FS20124937,김성수,장혁(지구)|수애(인혜)|박민하(미르)
FS20136068,이석훈,황정민|정우
FS20198453,강윤성,김래원(장세출)|원진아(강소현)|진선규(조광춘)
FS20189783,김용완,마동석|권율(박진기)|한예리(이수진)
FS20185485,브라이언 싱어,라미 말렉|조셉 마젤로|마이크 마이어스
FS20162365,데이빗 예이츠,에디 레드메인|콜린 파렐|캐서린 워터스턴
FS20218541,류승완,김혜수(조춘자)|염정아(엄진숙)|조인성(권 상사)
FS20151803,여인영,잭 블랙(포)|안젤리나 졸리(타이그리스)|더스틴 호프만(시푸)
FS20050310,마이크 뉴웰,다니엘 래드클리프(해리 포터)|루퍼트 그린트(론 위즐리)|엠마 왓슨(헤르미온느 그레인저)
FS20149951,돈 홀,라이언 포터|스콧 애짓|다니엘 헤니
FS20149317,제임스 건,크리스 프랫|조 샐다나|데이브 바티스타
FS20124054,조성희,송중기(늑대소년)|박보영(소녀)
FS20130442,김성훈,이선균(고건수 )|조진웅(박창민 )
FS20157881,크리스토퍼 맥쿼리,톰 크루즈|제레미 레너|사이먼 페그
FS20168773,우민호,송강호(이두삼)|조정석(김인구)|배두나(김정아)
FS20124938,원신연,공유(지동철)|박희순(민세훈)|조성하(김석호)
FS20184483,용수,설경구(장수)|조진웅(영기)|허준호(범도)
FS20125333,강우석,황정민(덕규)|유준상|이요원(홍규민)
FS20171909,제이크 캐스단,드웨인 존슨|잭 블랙|케빈 하트
FS20134181,조셉 코신스키,톰 크루즈|모건 프리먼|올가 쿠릴렌코
FS20173403,피에르 꼬팽,스티브 카렐|크리스틴 위그|트레이 파커
FS20165450,황동혁,이병헌(최명길)|김윤석|박해일(인조)
FS20204117,류승완,김윤석(한신성 대사)|조인성(강대진 참사관)|허준호(림용수 대사)
FS20176103,박누리,류준열(조일현)|유지태(번호표)|조우진(한지철)
FS20144641,박정우,김남길|김영애|문정희
FS20110905,빌 콘돈,로버트 패틴슨|크리스틴 스튜어트
FS20176848,데이빗 레이치,라이언 레이놀즈|조슈 브롤린|재지 비츠
FS20170513,임진순,마동석(역기철)|김새론(강유진)|이상엽(지성)
FS20167542,F. 게리 그레이,빈 디젤|드웨인 존슨|샤를리즈 테론
FS20154661,권수경,조정석|도경수|박신혜(이수현)
FS20070063,데이빗 예이츠,다니엘 래드클리프|루퍼트 그린트
FS20193069,조일형,유아인(오준우)|박신혜(김유빈)
FS20090834,제임스 카메론,샘 워싱턴|조 샐다나|시고니 위버
FS20124062,박정우,김명민(재혁)|문정희(경순)|김동완(재필)
FS20124064,임상수,김강우(주영작)|백윤식(윤회장)|윤여정(백금옥)
FS20180804,정범식,위하준(하준)|박지현(지현)|오아연(아연)
FS20161872,신카이 마코토,카미키 류노스케(타치바나 타키 역)|카미시라이시 모네(미야미즈 미츠하 역)|나가사와 마사미(오쿠데라 미키 역)
FS20162722,김형주,이성민(대호)|조진웅(종진)|김성균(덕만)
