영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
오피셜히게단디즘 라이브 앳 스타디움 2025,2026-04-02,2026-04-02,신작,공연·실황,종영,13842,14556,58,3178,58,19.2,195,8,2026-03-30,2026-05-24,공연,일본,(주)영화사 그램
크리스마스에 기적을 만날 확률,2024-12-11,2007-12-12,재개봉/구작,애니메이션,종영,13312,21229,117,1827,110,35.6,139,7,2024-12-09,2025-01-26,"애니메이션,드라마,액션",일본,"(주)팝엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트"
극장판 오버로드 성왕국편,2024-11-14,2024-11-14,신작,애니메이션,종영,12788,13324,78,2040,78,33.9,130,7,2024-11-11,2024-12-29,애니메이션,일본,(주)애니플러스
그리드맨 유니버스,2025-05-21,2025-05-21,신작,애니메이션,종영,12510,22581,102,1608,101,31.8,148,8,2025-05-12,2025-07-06,애니메이션,일본,(주)미디어캐슬
킹 오브 프리즘 -드라마틱 프리즘.1-,2024-08-16,2024-08-16,신작,애니메이션,종영,12396,10626,59,734,59,7.6,172,22,2024-08-12,2025-01-12,"애니메이션,드라마",일본,동우에이앤이(주)
극장판 고래와 나,2024-10-30,2024-10-30,신작,실사 한국,종영,11814,21040,118,1021,81,27.2,145,9,2024-10-14,2024-12-15,다큐멘터리,한국,주식회사 썬더필름
나의 행복한 결혼,2023-10-11,2023-10-11,신작,실사 외화,종영,11795,35254,107,2460,106,37.8,211,6,2023-10-09,2023-11-19,"판타지,멜로/로맨스",일본,(주)디스테이션
언젠틀 오퍼레이션,2025-03-19,2025-03-19,신작,실사 외화,종영,10987,35148,134,1606,133,47.1,184,6,2025-03-10,2025-04-20,"액션,코미디",영국,메가박스중앙(주)
영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,2025-02-06,2025-02-06,신작,애니메이션,종영,10914,26756,110,1620,110,26.0,160,11,2025-02-03,2025-04-20,애니메이션,일본,(주)애니플러스
택시 드라이버,2025-04-09,1989-02-17,재개봉/구작,실사 외화,종영,10856,20556,82,2006,83,61.7,164,4,2025-04-07,2025-05-04,"드라마,스릴러",미국,
몽키맨,2024-06-19,2024-06-19,신작,실사 외화,종영,10490,35002,146,1196,75,34.6,186,5,2024-06-10,2024-07-14,"액션,스릴러",미국,유니버설픽쳐스인터내셔널 코리아(유)
에드워드 호퍼,2024-11-27,2024-11-27,신작,실사 외화,종영,10471,15473,111,1422,77,30.8,125,5,2024-11-25,2024-12-29,다큐멘터리,영국,영화사빅
대결! 애니메이션,2024-03-06,2024-03-06,신작,실사 외화,종영,10118,21316,103,2122,102,25.8,157,9,2024-02-19,2024-04-21,드라마,일본,"(주)빌리언스플러스,(주)블루라벨픽쳐스"
금지된 장난,2024-06-05,2024-06-05,신작,실사 외화,종영,10064,26902,118,2228,74,42.5,172,4,2024-06-03,2024-06-30,공포(호러),일본,와이드 릴리즈(주)
레옹,2024-04-22,1995-02-18,재개봉/구작,실사 외화,종영,10030,18828,94,1129,88,20.9,140,5,2024-04-22,2024-05-26,"액션,범죄",프랑스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(주)팝파트너스"
좀비 랜드 사가: 유메긴가 파라다이스,2026-03-04,2026-03-04,신작,애니메이션,종영,9851,15447,104,804,100,25.4,118,11,2026-03-02,2026-05-17,애니메이션,일본,메가박스중앙(주)
그랜드 부다페스트 호텔,2026-04-08,2014-03-20,재개봉/구작,실사 외화,종영,9624,20307,81,3077,81,23.8,190,5,2026-04-06,2026-05-10,"미스터리,어드벤처",미국,"(주)피터팬픽쳐스,이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사"
라이프 오브 파이,2026-03-25,2013-01-01,재개봉/구작,실사 외화,종영,9540,16920,58,3065,58,26.0,214,4,2026-03-23,2026-04-19,"어드벤처,드라마",미국,"월트디즈니컴퍼니코리아 유한책임회사,주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
극장판 다이노맨: 공룡산의 비밀,2025-07-25,2025-07-25,신작,애니메이션,종영,9288,8031,64,875,81,13.6,113,11,2025-07-07,2025-09-21,애니메이션,한국,(주)엠디에스스피어
366일,2025-06-11,,재개봉/구작,실사 외화,종영,9120,25550,134,1138,133,43.9,151,5,2025-06-09,2025-07-13,멜로/로맨스,몽고,
"자우림, 더 원더랜드",2023-06-07,2023-06-07,신작,실사 한국,종영,8951,16218,84,682,89,20.7,148,8,2023-05-29,2023-07-23,다큐멘터리,한국,"메가박스중앙(주),써티세븐스디그리(주)"
영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제2장,2026-02-18,2026-02-18,신작,애니메이션,종영,8913,14883,107,2220,106,19.9,132,9,2026-02-16,2026-04-19,애니메이션,일본,(주)애니플러스
"극장판 뱅드림! 잇츠 마이고!!!!! 후편: 노래하자, 우리가 될 수 있는 노래 & 필름 라이브",2025-06-19,2025-06-19,신작,애니메이션,종영,8870,16334,76,3418,76,21.9,148,6,2025-06-16,2025-07-27,애니메이션,일본,(주)애니플러스
코넬의 상자,2025-01-08,2025-01-08,신작,실사 한국,종영,8421,8793,54,843,53,43.3,128,3,2025-01-06,2025-01-26,"미스터리,스릴러",한국,와이드 릴리즈(주)
미야자키 하야오의 그대들은 어떻게 살 것인가,2026-04-15,2026-04-15,신작,실사 외화,종영,8404,12149,72,1414,70,19.0,137,9,2026-03-30,2026-05-31,다큐멘터리,일본,(주)디스테이션
굿 보이,2025-10-22,2025-10-22,신작,실사 외화,종영,8338,23600,140,1402,139,47.0,147,5,2025-10-20,2025-11-23,"스릴러,공포(호러)",미국,"찬란,주식회사 로아앤코홀딩스"
우마무스메 프리티 더비 로드 투 더 탑,2024-06-27,,재개봉/구작,애니메이션,종영,8135,13305,64,2741,64,44.2,161,3,2024-06-24,2024-07-14,애니메이션,일본,(주)애니플러스
광장,2026-01-15,2026-01-15,신작,애니메이션,종영,8107,22388,125,1272,70,39.0,134,6,2026-01-05,2026-02-15,애니메이션,한국,(주)스튜디오디에이치엘
"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",2025-04-24,2025-04-24,신작,애니메이션,종영,7898,17986,77,1518,77,36.7,162,4,2025-04-21,2025-05-18,애니메이션,일본,(주)애니플러스
마작,2025-10-15,2025-10-15,신작,실사 외화,종영,7363,18072,108,613,95,26.6,126,9,2025-09-29,2025-11-30,드라마,대만,(주)디스테이션
뱀파이어 헌터 D,2025-11-12,2025-11-12,신작,애니메이션,종영,7168,9160,54,694,54,21.2,138,7,2025-11-03,2025-12-21,애니메이션,일본,(주)엠디에스스피어
