영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
여덟 번째 감각,2023-03-29,2023-03-29,신작,실사 한국,종영,4156,15830,80,1126,79,23.0,160,6,2023-03-20,2023-04-30,"멜로/로맨스,드라마",한국,"(주)엠디에스스피어,(주)영화특별시에스엠씨"
뒤주,2024-03-28,2024-03-28,신작,실사 한국,종영,3855,6846,52,999,52,14.8,129,4,2024-03-25,2024-04-21,"공포(호러),미스터리,스릴러",한국,(주)파이브데이
라라랜드,2023-04-18,2016-12-07,재개봉/구작,공연·실황,종영,3751,7811,50,875,50,19.2,167,4,2023-04-03,2023-04-30,"드라마,뮤지컬,멜로/로맨스",미국,판씨네마(주)
인디펜던스 나이트,2023-12-13,2023-12-13,신작,실사 외화,종영,3688,7381,59,778,55,30.1,130,2,2023-12-11,2023-12-24,"범죄,액션",미국,(주)디스테이션
시애틀의 잠 못이루는 밤,2024-12-11,1993-12-18,재개봉/구작,실사 외화,종영,3521,7134,58,672,57,42.7,111,3,2024-12-09,2024-12-29,"드라마,멜로/로맨스",미국,(주)디스테이션
2021 방탄소년단 머스터 소우주 리마스터링,2025-09-23,2025-09-23,신작,공연·실황,종영,3404,285,1,150,74,24.1,126,5,2025-09-22,2025-10-26,공연,한국,메가박스중앙(주)
새비지 맨,2023-01-26,2023-01-26,신작,실사 외화,종영,3227,6277,50,1314,50,8.5,133,3,2023-01-23,2023-02-12,"액션,스릴러",미국,주식회사 디에스이이디
숀더쉽 더 무비: 꼬마 외계인 룰라!,2024-02-08,2020-02-19,재개봉/구작,애니메이션,종영,3210,5400,43,143,50,23.0,115,3,2024-02-05,2024-02-25,"애니메이션,어드벤처,코미디",영국,TCO(주)더콘텐츠온
언더닌자,2026-02-05,2026-02-05,신작,실사 외화,종영,3191,8792,65,853,65,19.3,123,4,2026-02-02,2026-03-01,"드라마,코미디,액션",일본,"메가박스중앙(주),㈜T-JOY"
원 웨이,2023-02-09,2023-02-09,신작,실사 외화,종영,3176,6823,50,1372,50,8.2,135,3,2023-02-06,2023-02-26,액션,미국,주식회사 블루필름웍스
울프 하운드,2023-02-09,2023-02-09,신작,실사 외화,종영,3043,6545,50,1286,50,10.7,132,4,2023-02-06,2023-03-05,"액션,전쟁",미국,주식회사 풍경소리
잠자는 바보,2025-09-10,2025-09-10,신작,실사 외화,종영,3043,21549,110,540,110,30.5,145,5,2025-09-01,2025-10-05,드라마,일본,메가박스중앙(주)
아이언맨 2,2024-10-09,2010-04-29,재개봉/구작,실사 외화,종영,2935,16210,81,893,81,40.1,175,3,2024-10-07,2024-10-27,"SF,액션,어드벤처",미국,씨제이엔터테인먼트
가을의 전설,2024-11-27,1995-03-18,재개봉/구작,실사 외화,종영,2609,12181,66,548,65,45.9,145,3,2024-11-25,2024-12-15,멜로/로맨스,미국,워터홀컴퍼니(주)
퓨리,2024-12-11,2014-11-20,재개봉/구작,실사 외화,종영,2538,7118,53,477,53,42.4,121,3,2024-12-09,2024-12-29,"액션,드라마,전쟁",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
