영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
빌리와 용감한 타이거 킹,2025-09-11,16628,145294720,2,3,2025-11
극장판 츠루네: 시작의 한 발,2024-02-21,16531,150253101,1,2,2024-04
비거 스플래쉬,2016-08-03,16525,131213853,11,95,2024-05
와일드 로즈,2019-10-17,16468,124320040,1,1,2026-05
캡틴 판타스틱,2016-11-30,16391,126039700,1,1,2024-05
9월이 오면,,16376,33367000,1,6,2026-05
아사코,2019-03-14,16330,140393619,1,2,2024-05
희생,1995-05-25,16297,166235676,1,12,2026-02
너는 달밤에 빛나고,2020-06-10,16212,137532500,1,2,2024-07
류이치 사카모토: 코다,2018-06-14,16111,140792410,1,1,2026-07
치코와 리타,2012-01-05,16092,128383600,1,2,2025-02
나바론 요새,1974-07-20,16088,32388604,1,6,2026-07
퍼스트 카우,2021-11-04,15942,146048780,1,3,2026-03
한 남자,2023-08-30,15939,139270250,1,1,2024-05
자객 섭은낭,2016-02-04,15880,122950200,1,1,2024-03
파리의 딜릴리,2019-05-29,15736,133054587,1,1,2024-05
콰이강의 다리,1962-11-03,15673,31771500,1,12,2026-06
할머니가 죽기 전 백만장자가 되는 법,2024-10-09,15568,114630450,1,3,2025-08
피닉스,2021-07-22,15502,134100392,1,3,2025-12
비우티풀,2011-10-13,15464,120145600,1,1,2025-08
브로큰 임브레이스,2009-11-19,15405,118052500,1,3,2026-07
마이 선샤인,2026-01-07,15334,145946300,1,4,2026-03
콜럼버스,2018-04-19,15325,137086200,5,38,2026-07
일 포스티노,1996-03-09,15280,114310100,1,1,2026-04
셰인,,15268,32209000,1,4,2026-05
류이치 사카모토: 다이어리,2026-04-01,15268,150908000,1,2,2026-06
대지,,15215,31694000,1,12,2026-05
토니 에드만,2017-03-16,15204,122603300,1,6,2026-06
유리씨즈,1975-12-27,15166,30110000,1,8,2026-05
돌아오지 않는 강,1971-04-27,15157,29327858,1,6,2026-06
