순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
13,퍼스트레이디,2024-12-12,12세이상관람가,다큐멘터리,,"영화사키노(주),주식회사 블루필름웍스",Y,54,144,44116,26097,70369,85070,1.93,59.2,,,,,확정,4822,5934,7623,12540,5138,4367,3692,3665,4043,6154,5943,3028,1411,2009,1629
14,건국전쟁2,2025-09-10,12세이상관람가,다큐멘터리,김덕영,다큐스토리프로덕션,Y,379,379,25657,14147,43164,82464,3.21,55.1,,,,,확정,3405,2548,2610,5495,6042,2902,2655,1643,2039,1956,3802,3368,2006,2693,799
15,강령: 귀신놀이,2025-08-06,15세이상관람가,"공포(호러),미스터리,스릴러",손동완,(주)스튜디오디에이치엘,Y,201,224,49197,26153,67935,72305,1.47,53.2,,,,,확정,9159,6134,6369,9922,9862,3808,3943,2054,2580,4783,3925,3946,774,676,504
16,무명 無名,2025-06-25,12세이상관람가,다큐멘터리,유진주,커넥트픽쳐스(주),Y,161,184,30222,18019,45079,70632,2.34,59.6,,,,,확정,3813,4239,6878,6367,4774,2136,2015,1633,2021,2210,2423,3322,1562,1686,1192
17,압수수색: 내란의 시작,2025-04-23,12세이상관람가,다큐멘터리,김용진,영화로운 형제,Y,234,278,48496,30339,58629,64680,1.33,62.6,,,,,확정,5455,4490,6988,11246,12105,4171,4041,1853,2318,1259,1395,1301,920,1087,374
18,한국이 싫어서,2024-08-28,12세이상관람가,드라마,장건재,(주)디스테이션,Y,588,588,43036,19447,55137,62044,1.44,45.2,,,,,확정,11800,6216,6087,8334,5026,2413,3160,1493,1881,1823,2553,1964,1287,1100,372
19,독립군: 끝나지 않은 전쟁,2025-08-13,전체관람가,다큐멘터리,문승욱,주식회사 블루필름웍스,Y,158,177,21185,11813,33998,60254,2.84,55.8,,,,,확정,3035,1544,4414,2793,4606,2317,2476,1653,1440,2018,2649,2640,1243,1170,2431
20,부흥,2026-01-01,전체관람가,다큐멘터리,윤학렬,"주식회사 해밀리미디어더하세,주식회사 블루필름웍스",Y,16,23,8184,3432,13417,58038,7.09,41.9,,,,,확정,1475,878,1468,1086,908,1104,1265,692,521,1119,1286,794,421,400,923
21,6시간 후 너는 죽는다,2024-10-16,15세이상관람가,스릴러,이윤석,(주)트리플픽쳐스,Y,252,252,26788,9752,34619,50572,1.89,36.4,,,,,확정,11612,1791,2669,3924,3159,1552,2081,1616,1013,1095,1424,1660,557,466,272
22,매드 댄스 오피스,2026-03-04,전체관람가,"드라마,코미디",조현진,(주)디스테이션,Y,484,484,30365,14784,42499,50452,1.66,48.7,,,,,확정,5420,3839,3915,5971,4898,2025,4297,2088,2220,2012,1905,1790,1220,899,440
23,신사: 악귀의 속삭임,2026-06-17,15세이상관람가,"공포(호러),미스터리",구마키리 가즈요시,주식회사 로아앤코홀딩스,Y,207,224,36230,20308,44570,47141,1.3,56.1,,,,,확정,7145,4213,3734,9601,6973,2332,2232,878,811,1032,2570,2438,353,258,125
24,사람과 고기,2025-10-07,12세이상관람가,드라마,양종현,(주)트리플픽쳐스,Y,57,91,9581,4948,13893,44898,4.69,51.6,,,,,확정,1092,1247,1113,656,2306,1986,1181,839,408,527,557,818,774,389,601
25,오후 네시,2024-10-23,12세이상관람가,드라마,송정우,홀리가든,Y,230,249,18491,5895,31614,36514,1.97,31.9,,,,,확정,3357,2886,1344,2220,2331,1830,4523,1715,1319,2057,2471,3906,654,1001,397
26,교생실습,2026-05-13,12세이상관람가,"코미디,공포(호러)",김민하,주식회사 로아앤코홀딩스,Y,253,253,22614,12737,30621,34679,1.53,56.3,,,,,확정,3707,3484,3378,5250,4109,951,1735,1834,1185,1072,1142,1072,1344,358,137
27,장손,2024-09-11,12세이상관람가,"가족,미스터리,드라마",오정민,㈜인디스토리,Y,60,60,9023,3070,15162,33701,3.74,34.0,,,,,확정,1875,925,796,1133,1141,1192,1961,1048,581,749,1130,1290,587,754,882
28,한란,2025-11-26,12세이상관람가,드라마,하명미,(주)트리플픽쳐스,Y,262,262,17202,7722,22092,30937,1.8,44.9,,,,,확정,3458,3042,2519,2633,2570,1278,1702,806,805,1061,533,337,539,809,677
29,아메바 소녀들과 학교괴담: 개교기념일,2024-11-06,15세이상관람가,"코미디,공포(호러)",김민하,주식회사 로아앤코홀딩스,Y,203,203,16282,7737,24023,30109,1.85,47.5,,,,,확정,3002,1653,1563,3391,2783,1638,2252,1253,900,830,1557,2042,307,852,554
30,"다시 만날, 조국",2025-05-14,12세이상관람가,다큐멘터리,"정윤철,정상진","(주)엣나인필름,㈜스튜디오 체인",Y,229,229,18095,7577,25972,28612,1.58,41.9,,,,,확정,3536,2314,2678,2554,2345,1655,3013,1031,884,1154,1452,2577,312,467,248
31,그녀에게,2024-09-11,12세이상관람가,드라마,이상철,영화로운 형제,Y,148,148,13986,4059,16952,28299,2.02,29.0,,,,,확정,3632,3460,1234,1568,1257,1104,1731,436,515,353,678,446,177,361,375
32,어쩌면 해피엔딩,2025-10-02,12세이상관람가,"뮤지컬,멜로/로맨스",이원회,"(주)키노필름,(주)아센디오,(주)영화특별시에스엠씨,(주)로드쇼플러스",Y,147,147,13447,7144,18982,26782,1.99,53.1,,,,,확정,1527,3306,1974,1864,1263,1822,1691,1145,747,1159,1021,484,487,492,368
33,3학년 2학기,2025-09-03,12세이상관람가,드라마,이란희,작업장 봄,Y,91,91,5516,1705,8999,26458,4.8,30.9,,,,,확정,1176,804,732,482,491,563,1268,825,482,235,366,276,709,590,483
34,"초혼, 다시 부르는 노래",2025-03-19,15세이상관람가,드라마,조정래,커넥트픽쳐스(주),Y,146,149,10774,4883,12915,26411,2.45,45.3,,,,,확정,1980,1976,1798,1449,1636,814,1121,197,814,238,397,217,100,178,182
