날짜,순위,영화명,개봉일,관객수,관객수증감,누적관객수,매출액,매출점유율,매출액증감,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2026-07-04,7,그린랜드 2: 마이그레이션,2026-07-01,"7,954","2,298 (40.6%)","28,481","78,780,490",1.7%,"24,743,710 (45.8%)","269,244,040",353,562,"64,922",12.3%,2.8%
2026-07-04,6,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,"12,650","7,279 (135.5%)","28,700","114,869,150",2.5%,"69,155,500 (151.3%)","255,654,700",194,616,"76,489",16.5%,3.3%
2026-07-04,9,극장판 암살교실 모두의 시간,2026-07-01,"3,746","1,250 (50.1%)","13,767","39,270,300",0.9%,"12,278,100 (45.5%)","146,460,650",133,185,"21,406",17.5%,0.9%
2026-07-04,2,눈동자,2026-06-24,"141,266","49,821 (54.5%)","715,568","1,441,013,480",31.4%,"499,892,450 (53.1%)","7,236,757,470","1,177","4,257","563,118",25.1%,24.3%
2026-07-04,4,마티 슈프림,2026-07-01,"15,084","4,514 (42.7%)","57,416","165,154,780",3.6%,"52,826,490 (47.0%)","598,061,370",656,"1,143",,,
2026-07-04,8,백룸,2026-05-27,"7,607","1,522 (25.0%)","1,185,702","81,337,670",1.8%,"14,877,700 (22.4%)","12,651,786,550",240,347,,,
2026-07-04,10,슈퍼걸,2026-06-24,"3,280",725 (28.4%),"135,789","31,833,920",0.7%,"7,397,520 (30.3%)","1,393,294,180",365,484,"52,335",6.3%,2.3%
2026-07-04,5,와일드 씽,2026-06-03,"14,047","5,103 (57.1%)","1,291,366","140,215,530",3.1%,"52,075,040 (59.1%)","12,491,800,000",557,917,"94,497",14.9%,4.1%
2026-07-04,1,토이 스토리 5,2026-06-17,"183,910","111,183 (152.9%)","2,046,095","1,868,132,190",40.7%,"1,122,647,970 (150.6%)","21,020,872,990","1,496","6,058","901,187",20.4%,38.9%
2026-07-05,3,군체,2026-05-21,"24,541","-2,936 (-10.7%)","5,842,311","253,036,250",6.0%,"-31,257,160 (-11.0%)","61,495,855,040",680,"1,242","140,640",17.5%,6.4%
2026-07-05,7,그린랜드 2: 마이그레이션,2026-07-01,"7,092",-862 (-10.8%),"35,573","70,569,240",1.7%,"-8,211,250 (-10.4%)","339,813,280",349,550,"64,183",11.1%,2.9%
2026-07-05,6,극장판 도라에몽: 신 진구의 해저비밀성,2026-07-01,"11,359","-1,291 (-10.2%)","40,059","108,137,600",2.6%,"-6,731,550 (-5.9%)","363,792,300",194,592,"72,916",15.6%,3.3%
2026-07-05,10,극장판 암살교실 모두의 시간,2026-07-01,"3,453",-293 (-7.8%),"17,220","36,534,950",0.9%,"-2,735,350 (-7.0%)","182,995,600",132,180,"20,524",16.8%,0.9%
2026-07-05,2,눈동자,2026-06-24,"127,138","-14,126 (-10.0%)","842,703","1,307,432,260",31.2%,"-133,561,220 (-9.3%)","8,544,157,730","1,157","4,082","535,057",23.8%,24.3%
2026-07-05,9,다윗,2026-07-10,"4,968","1,797 (56.7%)","16,159","41,267,600",1.0%,"13,840,600 (50.5%)","139,459,600",87,87,,,
2026-07-05,4,마티 슈프림,2026-07-01,"12,848","-2,236 (-14.8%)","70,264","142,326,980",3.4%,"-22,827,800 (-13.8%)","740,388,350",627,"1,065",,,
2026-07-05,8,백룸,2026-05-27,"6,387","-1,220 (-16.0%)","1,192,089","68,131,960",1.6%,"-13,205,710 (-16.2%)","12,719,918,510",235,325,,,
2026-07-05,5,와일드 씽,2026-06-03,"12,251","-1,796 (-12.8%)","1,303,617","119,193,390",2.8%,"-21,022,140 (-15.0%)","12,610,993,390",554,865,"90,320",13.6%,4.1%
2026-07-05,1,토이 스토리 5,2026-06-17,"172,408","-11,500 (-6.3%)","2,218,501","1,739,808,750",41.5%,"-128,300,440 (-6.9%)","22,760,658,740","1,463","5,799","856,857",20.1%,38.9%
