순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
379,양양,2025-10-22,12세이상관람가,다큐멘터리,양주연,(주)영화사 진진,Y,30,30,826,368,1295,3451,4.18,44.6,,,,,확정,192,117,117,109,142,56,93,103,45,92,71,39,80,39,18
380,2021 방탄소년단 머스터 소우주 리마스터링,2025-09-23,전체관람가,공연,,메가박스중앙(주),,1,75,150,0,1750,3404,22.69,0.0,,,,,확정,150,0,0,0,0,0,0,0,395,187,230,454,241,93,147
381,엘스타 2 : 드리미 스테이지,2024-11-30,전체관람가,"애니메이션,공연",,씨제이 씨지브이(CJ CGV)(주),,15,15,1711,1609,2629,3399,1.99,94.0,,,,,확정,1187,422,0,0,0,0,102,536,303,0,0,0,0,79,413
382,정돌이,2025-02-12,12세이상관람가,다큐멘터리,김대현,인디라인,Y,13,15,768,422,1578,3391,4.42,54.9,,,,,확정,78,62,175,70,177,41,165,63,129,52,113,296,58,99,40
383,풍기,2024-08-28,12세이상관람가,코미디,박규식,"(주)드림팩트엔터테인먼트,(주)빅브라더스",Y,48,48,1286,527,1784,3386,2.63,41.0,,,,,확정,402,155,126,241,160,103,99,30,81,73,93,87,44,90,85
384,감독판 김일성의 아이들,2024-06-25,12세이상관람가,다큐멘터리,김덕영,"다큐스토리프로덕션,(주)다자인소프트",Y,39,60,2299,674,2671,3361,1.46,29.3,,,,,확정,925,241,329,330,174,170,130,166,9,16,18,130,0,33,0
385,된장이,2025-07-02,12세이상관람가,"코미디,드라마",조한별,(주)영화특별시에스엠씨,Y,29,31,1082,228,1311,3284,3.04,21.1,,,,,확정,481,222,60,79,89,53,98,2,9,3,152,5,7,51,48
386,엄마의 왕국,2024-07-24,15세이상관람가,"범죄,드라마,미스터리",이상학,스튜디오 에이드,Y,24,27,986,404,1291,3252,3.3,41.0,,,,,확정,287,107,120,117,167,90,98,45,24,41,70,34,53,38,15
387,우리 둘 사이에,2025-07-30,12세이상관람가,드라마,성지혜,㈜인디스토리,Y,32,32,1302,623,1607,3162,2.43,47.8,,,,,확정,272,152,218,217,188,100,155,20,67,36,59,13,23,87,34
388,엔하이픈 월드 투어 '페이트',2025-07-10,전체관람가,공연,,씨제이 씨지브이(CJ CGV)(주),,29,37,3120,2622,3120,3120,1.0,84.0,,,,,확정,498,740,735,1147,0,0,0,0,0,0,0,0,0,0,0
389,방탄소년단 '맵 오브 더 소울 : 원',2025-07-10,전체관람가,공연,,씨제이 씨지브이(CJ CGV)(주),,53,53,3109,2335,3109,3109,1.0,75.1,,,,,확정,774,544,1051,740,0,0,0,0,0,0,0,0,0,0,0
390,남으로 가는 길,2025-04-02,15세이상관람가,"드라마,액션,가족",김상래,THE 픽쳐스,,40,40,2445,922,2583,3049,1.25,37.7,,,,,확정,734,535,186,387,349,135,119,75,0,63,0,0,0,0,0
391,넌센스,2025-11-26,15세이상관람가,"스릴러,드라마",이제희,주식회사 로아앤코홀딩스,Y,40,42,1959,724,2274,3046,1.55,37.0,,,,,확정,382,179,191,296,237,261,413,27,145,17,19,77,20,10,22
392,차은우 브이알 콘서트 : 메모리즈 (CHA EUN-WOO VR CONCERT : MEMORIES ),2025-06-18,전체관람가,공연,김지애,(주)어메이즈브이알코리아,,2,2,1282,487,1911,3004,2.34,38.0,,,,,확정,492,118,99,190,198,77,108,66,75,130,141,100,55,62,82
393,소리없이 나빌레라,2026-06-24,전체관람가,다큐멘터리,현진식,영화로운 형제,Y,25,25,577,213,1291,2998,5.2,36.9,,,,,,111,116,65,82,66,62,75,70,91,124,196,50,16,167,202
394,투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',2025-07-10,전체관람가,공연,,씨제이 씨지브이(CJ CGV)(주),,23,37,2980,2710,2980,2980,1.0,90.9,,,,,확정,270,459,1533,718,0,0,0,0,0,0,0,0,0,0,0
395,숨,2025-03-12,12세이상관람가,다큐멘터리,윤재호,㈜인디스토리,Y,35,35,1335,657,1722,2965,2.22,49.2,,,,,확정,226,278,163,290,204,96,78,76,33,51,80,68,42,37,16
