영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
노량: 죽음의 바다,2023-12-20,한국,한국,(주)빅스톤픽쳐스,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",12세이상관람가,"사극,액션",김한민,"제현규,김윤석,백윤식,정재영,허준호,김성규,이규형,이무생,최덕문,안보현,박명훈,박훈,문정희,정기섭,유성주,안성봉,안세호,이성욱,오누리,주석태,최광제,최정태,김중희,안성기,여진구,이제훈,박용우,김민상,공명,남명렬,남경읍,배한성,김재영,최단비,송요셉,김효민,강성락,이건록,노형원,임일규,허재호,한우진,이재한,강신구,이태형,김형석,최돈학,이지영,이상호,전운종,한대훈,정대경,고해성,남상우,정영록,고기영,문바롬,이동희,김용준,손대민,윤상영,박형준,이규탁,김범수,박상원,진범일,서한돌,조성국,이시안,서대건,정시훈,김준석,박성현,김형록,황성웅,위민국,이민수,김진형,윤현승,남태우,우혁,김무섭,구본혁,채강,채원우,김동환,한재학,정동근,지상우,송치훈,김태응,강민태,박웅선,강수호,박현욱,김서준,황재운,이웅규,김시국,서현재,김백겸,공지삵,이승헌,함진성,이동현,이원희,손수호,최기표,황민혁,정하영,신형근,정유준,서정민,정민혁,김태훈,정종훈,김서빈,조현수,윤영진,하영진,정민철,김명수,양동혁,박성현,정승현,백경선,임성민,엄기영,박인국,유명환,김민수,오영철,최지현,오동훈,민주호,김동형,이창균,김경훈,김진욱,이종섭,오창후,허재욱,박상준,허태경,안준호,조재현,최지환,문형돈,오지훈,이시헌,박원진,한지은,신재영,송광주,장루이,현서영,신치영,황민형,김한상,장유화,연원모,김지안,석예린,권지희,문정환,변봉식,박광복,박선애,윤혁진,김시우,박연,이재우,임수한"
서울의 봄,2023-11-22,한국,한국,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트,12세이상관람가,드라마,김성수,"심가영,황정민,윤호림,이미라,정우성,이성민,박해준,김성균,김의성,정동환,안내상,유성주,최병모,박훈,이재윤,김성오,남윤호,홍서준,안세호,정형석,박정학,박원상,박민이,염동헌,전진기,차래형,공재민,권혁,한창현,송영근,전수지,서광재,임철형,현봉식,곽자형,전운종,이승희,김기무,문성복,김옥주,박정표,곽진석,한규원,우미화,차건우,최원경,정만식,정해인,이준혁,이귀우,우아름,김지원,최기동,양영문,진현광"
위시,2024-01-03,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"크리스 벅,폰 비라선손","아리아나 데보스,크리스 파인,알란 터딕"
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,일본,일본,,(주)씨제이이엔엠,전체관람가,애니메이션,오네 히토시,
아쿠아맨과 로스트 킹덤,2023-12-20,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,어드벤처,판타지",제임스 완,"제이슨 모모아,패트릭 윌슨,야히아 압둘 마틴 2세,앰버 허드,니콜 키드먼"
트롤: 밴드 투게더,2023-12-20,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,월트 도른,"안나 켄드릭,저스틴 팀버레이크,주이 디샤넬,에이미 슈머,앤드류 라넬스"
괴물,2023-11-29,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,미스터리",고레에다 히로카즈,"안도 사쿠라,다나카 유코,나가야마 에이타,쿠로카와 소야,히이라기 히나타"
뽀로로 극장판 슈퍼스타 대모험,2023-12-13,한국,한국,(주)오콘,씨제이 씨지브이(CJ CGV)(주),전체관람가,애니메이션,"윤제완,김성민","이선,이미자,함수정,홍소영,정미숙,김서영,김환진,사문영,한신,심규혁,김율,황창영"
더 퍼스트 슬램덩크,2023-01-04,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,이노우에 다케히코,
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,,
도티와 영원의 탑,2023-12-27,한국,한국,(주)샌드박스네트워크,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"배완,양희성,박인한","나희선,최예린,이민호,이민형,차재원,엄상현,이명호,방보용,정빈,김하영,김병선,임채빈,김도희,이주원,주백호,송훈,박도영,김근환,장은서,정서진,박현기,김시우,송희,김기운,하시안,서부건,조수아,김예은,권서준,이나영,조성하,최아림,강지민,공은빈,김성하,옥수진,유규선,천민규,한효경,정찬,박신후,김경륜,이지우,허은우,김경림,홍성빈,이영호,고연우,김로아,홍윤서,박채원,이지엘,이효린,이다은,최예원,하예은,하예설,임소여,오지수,손정민,이율주,남도형,신범식"
말하고 싶은 비밀,2023-12-13,일본,일본,,"(주)바이포엠스튜디오,홀리가든",전체관람가,멜로/로맨스,,사쿠라다 히요리
류이치 사카모토: 오퍼스,2023-12-27,일본,일본,,"(주)엣나인필름,메가박스중앙(주)",전체관람가,"공연,다큐멘터리",소라 네오,사카모토 류이치
크레센도,2023-12-20,미국,미국,,오드,전체관람가,다큐멘터리,헤더 윌크,
3일의 휴가,2023-12-06,한국,한국,글뫼 주식회사,(주)쇼박스,12세이상관람가,"판타지,드라마",육상효,"김해숙,강정윤,신민아,강기영,황보라,박명훈"
외계+인 2부,2024-01-10,한국,한국,(주)케이퍼필름,(주)씨제이이엔엠,12세이상관람가,기타,최동훈,"류준열,유진호,김태리,김우빈,이하늬,염정아,조우진,김의성,진선규,신정근,윤경호,이시훈,최미금,위지웅"
인투 더 월드,2024-01-10,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,벤자민 레너,"엘리자베스 뱅크스,캐롤 케인,아콰피나,쿠마일 난지아니"
사랑은 낙엽을 타고,2023-12-20,핀란드,핀란드,,찬란,12세이상관람가,멜로/로맨스,아키 카우리스마키,
리빙: 어떤 인생,2023-12-13,영국,영국,,(주)티캐스트,12세이상관람가,드라마,올리버 허머너스,"빌 나이,에이미 루 우드,알렉스 샤프,톰 버크"
길위에 김대중,2024-01-10,한국,한국,"(주)명필름,(주)시네마6411","(주)아이오케이이엔엠,(주)명필름,(주)시네마6411",12세이상관람가,다큐멘터리,민환기,"김대중,김도영,김재록,서석규,김남희,장현성"
클레오의 세계,2024-01-03,프랑스,프랑스,,"그린나래미디어(주),(주)하이스트레인저",전체관람가,드라마,마리 아마추켈리,"루이스 모루아-팡자니,일사 모레노 제고"
나폴레옹,2023-12-06,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"전쟁,드라마",리들리 스콧,"호아킨 피닉스,바네사 커비"
너와 나,2023-10-25,한국,한국,주식회사 필름영,"주식회사 필름영,그린나래미디어(주)",12세이상관람가,드라마,조현철,"박혜수,김시은,박서경"
그대들은 어떻게 살 것인가,2023-10-25,일본,일본,,메가박스중앙(주),전체관람가,애니메이션,미야자키 하야오,"스다 마사키,시바사키 코우,키무라 요시노,기무라 타쿠야,산토키 소마,아이묭,김연우"
피아니스트의 전설,2020-01-01,이탈리아,이탈리아,,"일미디어,(주)라이크콘텐츠",15세관람가,"드라마,판타지,뮤지컬",쥬세페 토르나토레,"팀 로스,프루잇 테일러 빈스,멜라니 티에리"
티처스 라운지,2023-12-27,독일,독일,,(주)스튜디오디에이치엘,12세이상관람가,드라마,일커 카탁,
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,일본,일본,,메가박스중앙(주),전체관람가,애니메이션,니시키오리 히로시,"오노 켄쇼,하타노 와타루,호시 소이치로"
쏘우 X,2023-12-13,미국,미국,,"(주)올스타엔터테인먼트,(주)플레이그램",청소년관람불가,"공포(호러),스릴러",케빈 그루터트,"토빈 벨,쇼니 스미스"
싱글 인 서울,2023-11-29,한국,한국,"(주)디씨지플러스,(주)명필름,(주)인사이트필름",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"멜로/로맨스,코미디",박범수,"이동욱,임수정,이솜,장현성,김지영,이미도,이상이,지이수,조영진,손지나,박슬기,한종훈,강인기,윤계상,조달환,정우영,김미수,류혜린,박유밀,한사명,송훈,윤대열,임우철,홍성덕,윤혜리,조민국,이태형,황대기,안희주,장래군,박병우,방예인,설찬미,한동희,이한종,구시연,이동건,오준혁,황기석,김예지,김한솔"
드라이브 마이 카,2021-12-23,일본,일본,,(주)트리플픽쳐스,15세이상관람가,드라마,하마구치 류스케,"니시지마 히데토시,미우라 토코,오카다 마사키,기리시마 레이카,박유림,진대연,소냐 위엔,안휘태"
콰이강의 다리,1962-11-03,미국,미국,콜럼비아 픽쳐스 코포레이션,,연소자관람가,"드라마,전쟁",데이빗 린,"알렉 기네스,하야카와 세슈,잭 호킨스"
노 베어스,2024-01-10,이란,이란,,엠엔엠인터내셔널(주),12세이상관람가,드라마,자파르 파나히,
덤 머니,2024-01-17,미국,미국,,"그린나래미디어(주),(주)플레이그램",15세이상관람가,"코미디,드라마",크레이그 질레스피,"폴 다노,세스 로건,아메리카 페레라,쉐일린 우들리"
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,2023-10-19,일본,일본,,메가박스중앙(주),전체관람가,애니메이션,니시키오리 히로시,"오노 켄쇼,하타노 와타루,호시 소이치로"
힐마 아프 클린트 - 미래를 위한 그림,2023-12-20,독일,독일,,(주)마노엔터테인먼트,전체관람가,다큐멘터리,할리나 디르슈카,"힐마 아프 클린트,에른스트 페터 피셔,율리아 포스"
녹원의 천사,,미국,미국,메트로-골드윈-마이어,,,"드라마,가족",클라렌스 브라운,
사람보,,프랑스,"프랑스,이탈리아",,,,"액션,드라마",세르지오 그리코,
미녀와 건달,,미국,미국,,,,"드라마,멜로/로맨스",빈센트 미넬리,"커크 더글라스,라나 터너"
이터널 선샤인,2005-11-10,미국,미국,포커스피쳐스,"롯데컬처웍스(주)롯데시네마,(주)노바미디어,코리아픽쳐스(주)",15세관람가,멜로/로맨스,미셸 공드리,"짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드"
외계+인 1부,2022-07-20,한국,한국,(주)케이퍼필름,(주)씨제이이엔엠,12세이상관람가,"액션,판타지,SF",최동훈,"류준열,김우빈,김태리,소지섭,염정아,조우진,김의성,이하늬,신정근,이시훈,김대명,최유리,김기천,윤병희,지건우,윤경호,옥자연,이현걸,김해숙,유재명,전여빈,김민서,김민준,이선희,백현주,최광제,심달기,조하이,김루아,김강일,이동희,김찬형,박무염,송영광,이동용,장준휘,한성수,김정한,김왕도,김세홍,김만호,김민체,박광재,박수진,김선혁,김우현,김민환,김재현,김윤도,김진욱,문바롬,성백인,안재원,이태환,이보영,윤상원,손주환,김단비,지한아,김빛나래,김세정,민정은,배윤민,정지원,지성은,전아희,한수아,고나영,박시연,송지혁,우상기,김선혁,한승윤,박인규,강정민,이희규,변진수,양미선,이병욱,장규식,전경희,강춘선,강차욱,김문조,조한길,류관후,김방선,전은미,정민규,고유준,전진기,이원민,이택근,서석규,한동훈,남지우,박래영,임보현,임우진,신혜지,김지선,김예주,이주혁,하시연,차영주,이수진,김수현,현오봉,김승준,박건률,선인호,이동석,조운성,조진결,한지훈,황인직,이준창,황재운,임재민,강기원,전원표,정예서,민새희,오채은,이하주,유독현,이가현,김현식,박종범,이섭정,강한별,김솔로몬,장석준,이수형,김한솔,박수찬"
"칼라스-파리, 1958",,프랑스,프랑스,,(주)케빈앤컴퍼니,,공연,톰 볼프,마리아 칼라스
부활 그 소망,2024-03-07,한국,한국,파이오니아21,파이오니아21,전체관람가,다큐멘터리,김상철,"천정은,권오중"
립세의 사계,2024-01-10,폴란드,폴란드,,(주)디스테이션,15세이상관람가,애니메이션,"DK 웰치먼,휴 웰치맨",
쿼바디스,1973-01-13,미국,미국,메트로-골드윈-마이어,,연소자관람가,"드라마,사극",머빈 르로이,"데보라 카,로버트 테일러,레오 겐"
간신의 피,2024-01-03,한국,한국,묘명동화,(주)에스와이코마드,15세이상관람가,액션,권하,"정회근,송길호,기주봉,현리원,신현규,김다솔"
백남준: 달은 가장 오래된 TV,2023-12-06,한국,"한국,미국",시소픽쳐스,(주)엣나인필름,12세이상관람가,다큐멘터리,어맨다 킴,"백남준,스티븐 연"
킹덤 3: 운명의 불꽃,2024-01-17,일본,일본,,"와이드 릴리즈(주),(주)플레이그램,(주)이놀미디어",15세이상관람가,"액션,전쟁",사토 신스케,"야마자키 켄토,요시자와 료,하시모토 칸나"
2만 종의 벌,2023-12-27,스페인,스페인,,주식회사 왓챠,12세이상관람가,드라마,,
"그리고, 살아간다",2024-01-01,일본,일본,,(주)미디어캐슬,12세이상관람가,"드라마,가족,멜로/로맨스",츠키카와 쇼,"아리무라 카스미,사카구치 켄타로,강지영"
비밀,2023-12-13,한국,한국,스튜디오고트,(주)영화특별시에스엠씨,청소년관람불가,"미스터리,드라마,스릴러","임경호,소준범","김정현,박성현,길해연,다원,송병훈,이형구,유태규,박성민,윤동원"
와일드 투어,2025-03-12,일본,일본,,(주)디오시네마,전체관람가,드라마,미야케 쇼,
어른 김장하,2023-11-15,한국,한국,MBC경남,(주)시네마달,전체관람가,다큐멘터리,김현지,김장하
조이랜드,2023-12-13,기타,기타,,주식회사 슈아픽처스,15세이상관람가,드라마,사임 사디크,
블루 자이언트,2023-10-18,일본,일본,,판씨네마(주),12세이상관람가,애니메이션,타치카와 유즈루,"야마다 유키,마미야 쇼타로,오카야마 아마네"
수라,2023-06-21,한국,한국,"스튜디오두마,미디어나무(주)","스튜디오두마,미디어나무(주),스튜디오 에이드",전체관람가,다큐멘터리,황윤,황윤
교토에서 온 편지,2023-12-06,한국,한국,한국영화아카데미,판씨네마(주),12세이상관람가,드라마,김민주,"한선화,윤소연,차미경,한채아,송지현"
모정,1972-12-09,미국,미국,이십세기폭스필름코퍼레이션,,12세관람가,"드라마,전쟁",헨리 킹,"윌리엄 홀든,제니퍼 존스"
공포의 보수,,프랑스,"프랑스,이탈리아",,,,"어드벤처,드라마,스릴러",앙리 조르주 클루조,"이브 몽땅,샤를 바넬,피터 반 에이크"
동경의 황혼,2024-10-09,일본,일본,,(주)엣나인필름,15세이상관람가,"드라마,가족",오즈 야스지로,"후지와라 카마타리,아리마 이네코"
패티코트 작전,,미국,미국,,,,"코미디,전쟁",블레이크 에드워즈,"캐리 그랜트,토니 커티스"
사랑의 스잔나,1976-08-12,홍콩,홍콩,동아흥행㈜,주식회사 블루필름웍스,전체관람가,멜로/로맨스,"김정용,송존수","이승룡,진추하"
호두까기 인형,,영국,영국,,(주)위즈온센,,공연,,
나의 올드 오크,2024-01-17,아일랜드,아일랜드,,(주)영화사 진진,15세이상관람가,드라마,켄 로치,"데이브 터너,에블라 마리"
약속,2023-11-01,한국,한국,(주)민병훈필름,엠라인디스트리뷰션(주),전체관람가,다큐멘터리,민병훈,"민시우,민병훈,안은미"
토스카,2018-05-05,미국,미국,,(주) 인스터 글로벌,12세이상관람가,공연,,
신세계로부터,2023-12-20,한국,한국,씨네마캣 픽쳐스,필름다빈,12세이상관람가,"드라마,미스터리",최정민,"진용욱,정하담,신나래,명채미"
전함 발진하라,,미국,미국,,,,"드라마,전쟁",조세프 페브니,
엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,한국,한국,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,전체관람가,"공연,다큐멘터리",오윤동,
천국의 그림자,,핀란드,핀란드,,,,"코미디,멜로/로맨스",아키 카우리스마키,"마티 펠론파,카티 오우티넨"
무기여 잘 있거라,1974-01-01,미국,미국,,,,"드라마,멜로/로맨스",찰스 비더,"록 허드슨,제니퍼 존스,비토리오 데 시카"
돈,1950-03-09,한국,한국,김프로덕션,,,"드라마,범죄",김소동,"김승호,최남현,최은희,김진규"
스노우 폭스: 썰매개가 될 거야!,2023-11-23,미국,미국,,(주)팝엔터테인먼트,전체관람가,"애니메이션,어드벤처",아론 우들리,"제레미 레너,알렉 볼드윈"
버팔로 대대,,미국,미국,,,,"범죄,서부극(웨스턴)",,
기적의 시작,2024-02-22,한국,한국,퓨어웨이픽쳐스,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,임동진
릴리 슈슈의 모든 것,2005-06-23,일본,일본,록웰아이즈 (ロックウェルアイズ),"(주)미디어캐슬,(주)튜브엔터테인먼트",15세관람가,드라마,이와이 슌지,"이치하라 하야토,오시나리 슈고"
아리엘,,핀란드,핀란드,,,,"범죄,멜로/로맨스",아키 카우리스마키,마티 펠론파
악마의 제자들,,미국,"미국,영국",,,,"코미디,멜로/로맨스","가이 해밀튼,알렉산더 맥켄드릭","버트 랭커스터,커크 더글라스"
러브레터,1999-11-20,일본,일본,후지텔레비젼네트웍,"워터홀컴퍼니(주),주식회사 왓챠,와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트",전체관람가,"멜로/로맨스,드라마",이와이 슌지,"나까야마 미호,토요카와 에츠시,사카이 미키"
보헤미안의 생,,핀란드,핀란드,,,,"드라마,코미디",아키 카우리스마키,"마티 펠론파,에벌린 디디"
프레디의 피자가게,2023-11-15,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"공포(호러),스릴러",엠마 타미,"조쉬 허처슨,엘리자베스 라일,캣 코너 스털링,파이퍼 루비오,메리 스튜어트 매스터슨,매튜 릴라드"
헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,어드벤처,SF,스릴러",프란시스 로렌스,"레이첼 지글러,톰 블라이스,헌터 샤퍼,비올라 데이비스,피터 딘클리지,제이슨 슈왈츠먼"
어둠은 걷히고,,핀란드,핀란드,,,,"드라마,코미디",아키 카우리스마키,"카티 오우티넨,까리 베나넨"
패터슨,2017-12-21,프랑스,"프랑스,독일,미국",,그린나래미디어(주),12세이상관람가,드라마,짐 자무쉬,"아담 드라이버,골시프테 파라하니"
홈그라운드,2023-12-06,한국,한국,,영화배급협동조합 씨네소파,12세이상관람가,다큐멘터리,권아람,
괴인,2023-11-08,한국,한국,영화 제작위원회,(주)영화사 진진,15세이상관람가,드라마,이정홍,"박기홍,최경준,이소정,안주민,이기쁨,전길"
기인들,,미국,미국,,,,"서부극(웨스턴),드라마",존 휴스턴,"클라크 게이블,마릴린 몬로,몽고메리 클리프트"
가버나움,2019-01-24,기타,기타,,"그린나래미디어(주),플레이리스트(주)",15세이상관람가,드라마,나딘 라바키,"자인 알 라피아,요르다노스 시프로우,보루와티프 트레저 반콜,나딘 라바키"
마이 샤이니 월드,2023-11-03,한국,한국,"메가박스중앙(주) 플러스엠 엔터테인먼트,(주)에스엠엔터테인먼트",메가박스중앙(주),전체관람가,"공연,다큐멘터리",이후빈,샤이니
본 투 비 블루,2016-06-09,캐나다,"캐나다,영국,미국",,그린나래미디어(주),청소년관람불가,드라마,로버트 뷔드로,"에단 호크,카르멘 에조고"
에브리씽 에브리웨어 올 앳 원스,2022-10-12,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
"주사위놀이, 마불 세계여행",2024-01-03,한국,한국,(주)니즈텔레콤,(주)니즈텔레콤,전체관람가,어드벤처,이광범,
어파이어,2023-09-13,독일,독일,,엠엔엠인터내셔널(주),12세이상관람가,"드라마,멜로/로맨스,코미디",크리스티안 펫졸드,폴라 비어
오징어 노동조합,,핀란드,핀란드,,,,기타,아키 카우리스마키,
과거가 없는 남자,2005-10-14,핀란드,핀란드,판도라 필름프로덕션,(주)영화랑,12세관람가,"코미디,드라마",아키 카우리스마키,"마르꾸 펠톨라,카티 오우티넨"
바람과 함께 사라지다,1972-12-23,미국,미국,메트로-골드윈-마이어,(주)피터팬픽쳐스,"12세이상관람가,국민학생관람불가","드라마,멜로/로맨스,전쟁",빅터 플레밍,"클라크 게이블,비비안 리,레슬리 하워드"
이어지는 땅,2024-01-10,한국,한국,,필름다빈,12세이상관람가,드라마,조희영,"공민정,정회린,류세일,감동환,김서경"
물비늘,2023-12-06,한국,한국,플라시보 픽쳐스,㈜인디스토리,12세이상관람가,드라마,임승현,"김자영,하이안,홍예서,정애화,설시연,김현정,장준휘,최원용,하준호"
유하,,핀란드,핀란드,,,,코미디,아키 카우리스마키,"사카리 쿠오스마넨,카티 오우티넨"
리오 브라보,,미국,미국,,,,"드라마,멜로/로맨스,서부극(웨스턴)",하워드 혹스,"존 웨인,딘 마틴"
어느 가족,2018-07-26,일본,일본,,(주)티캐스트,15세이상관람가,드라마,고레에다 히로카즈,"릴리 프랭키,안도 사쿠라,마츠오카 마유,키키 키린,죠 카이리,사사키 미유,이케마츠 소스케"
무방비 도시,,이탈리아,이탈리아,,,,"드라마,전쟁",로베르토 로셀리니,"안나 마냐니,알도 파브리지"
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,2023-08-10,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,어드벤처,액션",,"하성용,정재헌,엄상현,윤승희,김율,유동균,김정은,한경화,박성영"
달빛 아래서,,미국,미국,,,,드라마,멜빌 샤벨슨,"캐리 그랜트,소피아 로렌"
가위손,1991-06-29,미국,미국,,(주)프레인글로벌,중학생이상관람가,드라마,팀 버튼,"조니 뎁,위노나 라이더,빈센트 프라이스"
내겐 너무 젊은 장모,2024-01-05,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),,
찬란한 내일로,2024-05-29,이탈리아,"이탈리아,프랑스",,에무 시네마 앤 카페,12세이상관람가,드라마,난니 모레티,"난니 모레티,마르게리타 부이,실비오 올란도,마티유 아말릭"
황혼의 빛,2006-12-14,핀란드,핀란드,,(주)스폰지이엔티,12세이상관람가,드라마,아키 카우리스마키,"얀 히티아이넨,마리아 예르벤헬미"
우리 돈 벌레,2023-12-28,한국,한국,㈜스토리셋,㈜스토리셋,12세이상관람가,코미디,윤재연,"양동근,던밀스"
동경 이야기,2014-08-16,일본,일본,,"(주)엣나인필름,오드",전체관람가,드라마,오즈 야스지로,"치슈 류,히가시야마 치에코"
르네에게,2023-12-27,한국,한국,(주)허그아이엔티엘,"(주)드림팩트엔터테인먼트,(주)빅브라더스",12세이상관람가,드라마,강승원,"오정훈,주인영"
해바라기,1982-11-14,이탈리아,이탈리아,모스필름,일미디어,12세이상관람가,드라마,비토리오 데 시카,"소피아 로렌,마르첼로 마스트로얀니"
마타하리,,미국,미국,,,,드라마,조지 피츠모리스,"그레타 가르보,라이오넬 배리모어"
날씨의 아이,2019-10-30,일본,일본,,"메가박스중앙(주) 플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)",15세이상관람가,"애니메이션,판타지,멜로/로맨스",신카이 마코토,"다이고 코타로,모리 나나,오구리 슌,심규혁,최한,강은애,김서영"
남산의 부장들,2020-01-22,한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,드라마,우민호,"이병헌,이태호,이성민,곽도원,이희준,김소진,김승훈,박성근,서현우,지현준,박지일,이태형,주석태,이도국,김민상,이양희,정미형,조혜주,김명선,이하영,전우재,손병욱,윤충,염석무,박현우,김태훈,최재훈,조영규,이수광,박기만,엄지만,천명재,김낙균,천재홍,김지나,이태호,정종우,윤기창,손인용,박소윤,이영용,김성철,장은채,유정호,정문용,신하준,이승진,제리 렉터,오진석,남승화,유대식,장의돈,구윤회,양재훈,김동환,이광식,김병남,오대환,이병관,김지성,박하균,이상철,김홍파,김용우,정원석,이충훈"
레이니 데이 인 뉴욕,2020-05-06,미국,미국,,"그린나래미디어(주),(주)버킷스튜디오",15세이상관람가,"코미디,멜로/로맨스",우디 앨런,"티모시 샬라메,엘르 패닝,셀레나 고메즈,주드 로,디에고 루나,리브 슈라이버"
안나 카레니나,,미국,미국,,,,"드라마,멜로/로맨스",,
열정,,일본,일본,,(주)트리플픽쳐스,,드라마,하마구치 류스케,"오카베 나오,카와이 아오바,오카모토 류타"
타오르는 여인의 초상,2020-01-16,프랑스,프랑스,,"그린나래미디어(주),스튜디오 초이스 주식회사",15세이상관람가,드라마,셀린 시아마,"아델 에넬,노에미 멜랑"
언더 유어 베드,2023-12-13,한국,한국,(주)미스터리픽처스,(주)트리플픽쳐스,청소년관람불가,"스릴러,멜로/로맨스",사부,"이지훈,이윤우,신수항"
형제는 용감하였다,,미국,미국,,,,"멜로/로맨스,드라마",리처드 소프,"로버트 테일러,앤 블리스"
극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,한국,한국,(주)마로스튜디오,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,정지훈,"김은아,엄상현,이지현,이민규,전태열,정영웅,신용우,남도형,한만중,홍소영"
겨울 이야기,,프랑스,프랑스,,(주)영화사 안다미로,15세이상관람가,드라마,에릭 로메르,"샬롯 베리,프레데릭 반 덴 드리슈"
그렇게 아버지가 된다,2013-12-19,일본,일본,,(주)티캐스트콘텐츠허브,전체관람가,"드라마,가족",고레에다 히로카즈,"후쿠야마 마사하루,오노 마치코,릴리 프랭키,마키 요코"
너의 이름은.,2017-01-04,일본,일본,,메가박스중앙(주) 플러스엠 엔터테인먼트,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
엘리자벳과 나,2023-12-13,독일,"독일,스위스,오스트리아",,(주)영화사 안다미로,15세이상관람가,드라마,프라우케 핀스터발더,"산드라 휠러,수잔느 볼프"
느티나무 아래,2023-11-15,한국,한국,영화제작소 숲길,"미디어나무(주),스튜디오 에이드",전체관람가,다큐멘터리,오정훈,
2046,2004-10-15,홍콩,홍콩,"아르떼,콜럼비아 픽쳐스 코포레이션,프랑스3시네마,젯톤프로덕션,제2 독일 텔레비젼 협회,포르티시모 필름","(주)디스테이션,이십세기폭스필름코퍼레이션","18세관람가,청소년관람불가",드라마,왕가위,"양조위,공리,왕비,기무라 다쿠야,장쯔이,유가령,장첸,장만옥"
해피 아워,2021-12-09,일본,일본,,(주)트리플픽쳐스,15세이상관람가,드라마,하마구치 류스케,"다나카 사치에,기쿠치 하즈키,미하라 마이코,가와무라 리라"
러브액츄얼리: 크리스마스 에디션,2013-12-18,미국,"미국,영국",,(주)팝엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,리암 니슨,키이라 나이틀리,엠마 톰슨"
황금마차,,이탈리아,"이탈리아,프랑스",,,,"코미디,드라마",장 르누아르,
꽁치의 맛,,일본,일본,,,,드라마,오즈 야스지로,"치슈 류,이와시타 시마"
유스,2016-01-07,이탈리아,"이탈리아,프랑스,스위스,영국",,그린나래미디어(주),15세이상관람가,드라마,파올로 소렌티노,"마이클 케인,하비 케이틀,레이첼 와이즈,폴 다노,제인 폰다"
빅슬립,2023-11-22,한국,한국,CINEBUS,찬란,15세이상관람가,드라마,김태훈,"김영성,오동진,임재혁,최준우"
러스트 앤 본,2013-05-02,프랑스,프랑스,,그린나래미디어(주),청소년관람불가,"멜로/로맨스,드라마",자크 오디아르,"마리옹 꼬띠아르,마티아스 쇼에나에츠,보울리 라너스"
애스터로이드 시티,2023-06-28,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,웨스 앤더슨,"제이슨 슈왈츠먼,스칼렛 요한슨,톰 행크스,제프리 라이트,틸다 스윈튼,브라이언 크랜스톤,에드워드 노튼,애드리언 브로디,리브 슈라이버,홉 데이비스"
