영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우
아이돌리쉬 세븐 퍼스트 비트! 극장총집편 후편,2025-12-12,일본,일본,,"메가박스중앙(주),㈜T-JOY",전체관람가,애니메이션,벳쇼 마코토,"시라이 유스케,요나가 츠바사,켄,아베 아츠시,에구치 타쿠야,오노 켄쇼"
화양연화 특별판,2025-12-31,홍콩,홍콩,,(주)디스테이션,15세이상관람가,드라마,왕가위,"장만옥,양조위"
차임,2026-03-04,일본,일본,,(주)디오시네마,15세이상관람가,"스릴러,공포(호러)",구로사와 기요시,요시오카 무츠오
마더스 베이비,2025-12-11,오스트리아,"오스트리아 ,독일,스위스",,(주)플레이그램,15세이상관람가,"스릴러,미스터리",요한나 모더,"클라에스 방,줄리아 프란츠 리히터"
어 퍼펙트 데이,2017-09-21,스페인,스페인,,(주)마노엔터테인먼트,15세이상관람가,드라마,페르난도 레온 데 아라노아,"베니치오 델 토로,팀 로빈스,올가 쿠릴렌코,멜라니 티에리"
12 솔져스,2018-01-31,미국,미국,,(주)제이앤씨미디어그룹,15세이상관람가,"액션,드라마,전쟁",니콜라이 퓰시,"크리스 헴스워스,마이클 섀넌,마이클 페나,트레반트 로즈"
"72시간 소개팅 훗카이도, 그리고 그 후",,한국,한국,,,,멜로/로맨스,,
미로,,한국,한국,주식회사 필르머,,,드라마,신선,"고경표,위지원,류경수"
FFF2025 필름게이트 단편선3,,한국,한국,,,,드라마,,
FFF2025 필름게이트 단편선1,,한국,한국,,,,드라마,,
FFF2025 필름게이트 단편선4,,한국,한국,,,,드라마,,
거미의 눈동자,,일본,일본,,,,"범죄,스릴러",구로사와 기요시,"아이카와 쇼,오스기 렌"
FFF2025 필름게이트 단편선2,,한국,한국,,,,드라마,,
FFF2025 여성 영화전,,한국,한국,,,,드라마,,
