순위,영화명,개봉일,제작연도,대표국적,국적,장르,감독,배급사,직배여부,등급,개봉스크린수,첫주관객,2주누적,최종누적관객,배수,스크린당관객,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,첫주말일수,누적매출액,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
20,시라트,2026-01-21,2025,스페인,스페인,드라마,올리베르 라셰,(주)레드아이스 엔터테인먼트,비직배,15세이상관람가,195,25821,45515,72363,2.8,371,28852,13.1,89705,15.1,3,712318730,3781,3003,4100,5061,4389,2583,2904,4259,2514,2629,3896,3086,1814,1496,1188
21,로봇 드림,2024-03-13,2023,스페인,"스페인,프랑스",애니메이션,파블로 베르헤르,"(주)영화사 진진,(주)하이스트레인저",비직배,전체관람가,114,8387,14977,71108,8.48,624,13351,7.5,41840,10.2,3,693711997,1003,1733,846,1697,1719,675,714,844,597,798,1688,1642,487,534,1313
22,여행과 나날,2025-12-10,2025,일본,일본,드라마,미야케 쇼,(주)엣나인필름,비직배,12세이상관람가,154,23587,37883,66520,2.82,432,18117,20.9,59458,20.1,3,635049141,3786,3126,3283,4671,4014,2199,2508,2462,2207,1994,2884,2203,1535,1011,1577
23,이처럼 사소한 것들,2024-12-11,2024,미국,미국,드라마,,"그린나래미디어(주),주식회사 로아앤코홀딩스",비직배,12세이상관람가,78,15014,26412,61405,4.09,787,11552,26.0,37632,19.1,3,580838760,3002,1756,1762,2490,2948,1381,1675,1193,1281,1442,2117,2045,1347,1973,2879
24,10 라이브즈,2024-08-15,2024,영국,영국,애니메이션,크리스토퍼 젠킨스,(주)박수엔터테인먼트,비직배,전체관람가,191,29182,37268,60606,2.08,317,35983,31.0,88455,15.0,3,441732800,11153,2725,5198,5334,998,1128,2646,884,600,2767,2878,346,376,235,1116
25,화양연화 특별판,2025-12-31,2000,홍콩,홍콩,드라마,왕가위,(주)디스테이션,비직배,15세이상관람가,174,28164,37265,52606,1.87,302,22826,40.7,62617,16.4,3,527503522,9292,5002,3140,4153,3000,1720,1857,1510,1164,1516,1603,1536,781,991,658
26,정글번치: 월드투어,2024-01-31,2023,프랑스,프랑스,애니메이션,,(주)무비다이브,비직배,전체관람가,193,22804,43485,52193,2.29,270,29153,7.2,104475,16.0,3,431379500,2085,1738,2421,7227,7043,909,1381,788,1295,3803,2820,4699,6418,858,514
27,오지: 사라진 숲을 찾아서,2024-09-13,2023,미국,미국,애니메이션,,"(주)팝엔터테인먼트,(주)플레이그램",비직배,전체관람가,214,35662,48053,50986,1.43,238,28872,6.8,104695,17.2,3,396502975,1968,7436,8588,5076,5021,7067,506,1603,4719,4476,474,432,593,94,122
28,투게더,2025-09-03,2025,미국,미국,"공포(호러),멜로/로맨스",마이클 쉥크스,"그린나래미디어(주),(주)플레이그램",비직배,15세이상관람가,251,30694,42677,50176,1.63,200,76927,10.3,183207,7.6,3,416224000,7925,4515,3646,6046,4323,1734,2505,2172,1268,1380,2566,2611,856,1130,1064
29,스즈메의 문단속: 다녀왔어,2024-01-10,2022,일본,일본,애니메이션,신카이 마코토,(주)쇼박스,비직배,12세이상관람가,185,24533,37121,48577,1.98,263,23012,26.7,78524,15.7,3,479767900,6145,2907,2717,4934,4643,1598,1589,2025,1530,1460,2833,2579,1059,1102,1400
30,악은 존재하지 않는다,2024-03-27,2023,일본,일본,드라마,하마구치 류스케,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",비직배,12세이상관람가,149,19164,27445,47163,2.46,317,20729,20.3,67870,13.7,3,462380650,4208,2835,2173,3752,3372,1477,1347,1121,1076,1346,1827,1463,709,739,1584
31,프렌치 수프,2024-06-19,2023,프랑스,프랑스,"멜로/로맨스,드라마",트란 안 홍,"주식회사 올랄라스토리,(주)플레이그램",비직배,12세이상관람가,234,19675,30774,46965,2.39,201,38128,11.2,74435,10.9,3,436751495,4253,3401,2144,3120,2845,1856,2056,2170,1567,1582,1980,1995,852,953,802
32,도그맨,2024-01-24,2025,프랑스,프랑스,드라마,뤽 베송,(주)레드아이스 엔터테인먼트,비직배,15세이상관람가,496,41097,44983,46705,1.14,94,157148,6.5,364444,5.1,3,435005149,10203,5221,4929,7222,6372,3239,3911,1067,429,623,567,428,364,408,18
33,로마의 휴일,2025-08-20,1953,미국,"미국,이탈리아","멜로/로맨스,드라마,코미디",윌리엄 와일러,롯데컬처웍스(주)롯데시네마,비직배,12세이상관람가,79,9039,13911,46620,5.16,590,16343,14.2,31029,12.1,3,307243900,2319,1616,884,1470,1409,725,616,1074,749,806,784,709,355,395,260
34,꼬마 판다 팡의 아프리카 대모험,2025-01-22,2024,네덜란드,네덜란드,애니메이션,"리처드 클라우스,카스텐 킬러리치",(주)디스테이션,비직배,전체관람가,198,17782,27622,44979,2.53,227,27966,6.2,81080,10.6,3,359615000,1729,1168,1124,3503,3950,3596,2712,1678,2470,882,1769,1481,448,1112,713
35,그저 사고였을 뿐,2025-10-01,2025,이란,이란,"액션,범죄,드라마",자파르 파나히,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",비직배,15세이상관람가,102,13688,24912,44558,3.26,437,13476,15.3,36506,17.1,3,430074610,2061,1474,2219,2146,1862,1659,2267,2093,1742,1427,2373,1716,851,1022,1134
36,롱레그스,2024-10-30,2023,미국,미국,"공포(호러),스릴러",,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",비직배,15세이상관람가,276,32906,42045,44495,1.35,161,50208,14.8,164086,9.8,3,395409400,7433,4857,4404,6399,5301,1712,2800,1833,1283,1284,1900,1512,569,758,299
37,페라리,2025-01-08,2024,미국,"미국,이탈리아,영국","드라마,액션",마이클 만,(주)씨제이이엔엠,비직배,15세이상관람가,562,35965,40715,42298,1.18,75,171129,6.1,335593,4.6,3,407348520,10489,5183,4553,5947,4924,2222,2647,513,525,525,1020,930,763,474,36
38,톰과 제리: 황금나침반 대소동,2026-01-01,2025,미국,미국,애니메이션,,TCO(주)더콘텐츠온,비직배,전체관람가,406,29785,36981,40908,1.37,101,55498,23.4,131449,9.9,3,347484520,13003,3733,5102,4197,992,1147,1611,1076,1462,1635,1444,428,505,646,396
39,이사,2025-07-23,,일본,일본,드라마,소마이 신지,(주)에이유앤씨,비직배,12세이상관람가,80,11562,21965,39779,3.44,497,10352,12.3,28321,22.1,3,397602000,1277,855,1455,2681,2127,1650,1517,2434,1160,1534,1834,1688,921,832,813
40,꼬마참새 리차드: 신비한 보석 탐험대,2024-05-01,2023,독일,"독일,벨기에,노르웨이",애니메이션,,(주)스튜디오디에이치엘,비직배,전체관람가,174,23004,31113,39016,1.7,224,22686,17.0,65445,17.8,3,300877200,3851,825,1056,3147,7465,5898,762,392,520,642,2394,2911,847,403,1657
41,파더 마더 시스터 브라더,2025-12-31,2025,프랑스,프랑스,드라마,짐 자무쉬,"주식회사 로아앤코홀딩스,(주)영화사 안다미로",비직배,12세이상관람가,68,13189,25885,37981,2.88,559,8063,39.9,22447,26.2,3,348605560,3216,1899,1107,2440,2335,958,1234,2917,2510,1859,2009,1370,1149,882,870
42,스탑 메이킹 센스,2025-08-13,1984,미국,미국,다큐멘터리,조나단 드미,주식회사 올랄라스토리,비직배,12세이상관람가,81,14047,21708,37571,2.67,464,13954,13.3,38332,21.0,3,436647381,1859,1840,3433,2425,2199,1050,1241,1292,1106,682,1974,1468,544,595,1068
43,덤 머니,2024-01-17,2023,미국,미국,"코미디,드라마",크레이그 질레스피,"그린나래미디어(주),(주)플레이그램",비직배,15세이상관람가,465,29130,34949,37262,1.28,80,106530,5.6,258578,5.2,3,346814109,5917,4367,4279,5093,4108,2340,3026,1153,826,689,1021,1500,304,326,189
44,페니키안 스킴,2025-05-28,2025,미국,미국,"드라마,코미디",웨스 앤더슨,유니버설픽쳐스인터내셔널 코리아(유),직배,15세이상관람가,339,23279,29887,37172,1.6,110,80195,9.0,122081,7.1,3,350365850,7205,2838,2338,3399,2986,1745,2768,980,967,1456,1261,1010,506,428,373
45,위 리브 인 타임,2026-04-08,2024,프랑스,프랑스,"멜로/로맨스,드라마",존 크로울리,(주)스튜디오디에이치엘,비직배,15세이상관람가,242,22181,32089,34766,1.57,144,50745,10.5,134163,8.6,3,267302350,5337,3638,3657,4089,3776,921,763,2282,1890,1343,1722,2032,297,342,183
46,난징사진관,2025-11-05,2025,중국,중국,드라마,신오,"주식회사 콘텐츠존,(주)다자인소프트",비직배,15세이상관람가,272,18911,27620,34703,1.84,128,45404,10.1,118936,6.7,3,315045380,4585,3023,2881,2704,2374,999,2345,975,1270,1877,1500,1021,708,1358,44
47,메이 디셈버,2024-03-13,2023,미국,미국,드라마,토드 헤인즈,판씨네마(주),비직배,청소년관람불가,400,21453,26430,33620,1.57,84,71408,11.1,156949,5.2,3,310032799,7904,2912,3243,2529,2368,1169,1328,781,695,814,927,719,460,581,213
48,에밀리아 페레즈,2025-03-12,2024,프랑스,프랑스,"뮤지컬,코미디",자크 오디아르,"그린나래미디어(주),(주)레드아이스 엔터테인먼트,롯데컬처웍스(주)롯데시네마",비직배,15세이상관람가,365,20375,27187,33103,1.62,91,68747,6.5,176388,5.3,3,267151700,4489,2500,3591,3125,2546,1483,2641,1750,1281,942,801,745,875,418,286
49,어글리 시스터,2025-08-20,2025,노르웨이,"노르웨이,덴마크",공포(호러),에밀리 블리치펠트,"(주)플레이그램,해피송",비직배,청소년관람불가,187,20214,29265,31866,1.58,170,48541,10.3,67208,13.8,3,310562900,5011,3001,2531,4058,2667,1493,1453,2191,1476,1290,1650,1377,550,517,294
50,바튼 아카데미,2024-02-21,2023,미국,미국,"코미디,드라마",알렉산더 페인,유니버설픽쳐스인터내셔널 코리아(유),직배,15세이상관람가,254,16214,22174,31621,1.95,124,51339,6.5,100463,7.6,3,297503999,3318,1802,2162,2979,2520,1710,1723,1161,742,1358,1102,704,451,442,335
51,드림 시나리오,2024-05-29,2023,미국,미국,"코미디,드라마",크리스토퍼 보글리,"주식회사 올랄라스토리,메가박스중앙(주)",비직배,15세이상관람가,392,23533,28409,31539,1.34,80,91850,9.8,189761,4.1,3,258888629,9024,3472,3052,2750,2002,934,2299,1300,894,599,762,620,392,309,564
52,언더더씨: 마법 산호초를 찾아서,2024-06-27,2023,독일,독일,애니메이션,,(주)팝엔터테인먼트,비직배,전체관람가,215,12879,20633,30960,2.4,144,11546,9.6,66103,13.3,3,236804755,1107,718,3589,4455,423,1013,1574,903,1397,1622,1888,152,722,1070,1133
53,데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,2024,일본,일본,애니메이션,,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",비직배,15세이상관람가,375,17975,27113,30801,1.71,82,81022,6.9,167697,3.8,3,259858020,5620,2134,1809,2708,1918,1315,2471,1701,1418,991,2348,1435,844,401,229
54,폭탄,2026-03-18,2025,일본,일본,스릴러,나가이 아키라,"(주)삼백상회,(주)제이에이와이이엔터테인먼트,(주)로커스",비직배,15세이상관람가,185,19013,27486,30798,1.62,166,35834,10.6,94715,10.8,3,241480450,3783,3194,2918,3707,3640,895,876,1374,1433,1152,1833,1924,393,364,145
55,러브 라이즈 블리딩,2024-07-10,2023,미국,미국,"범죄,멜로/로맨스",로즈 글래스,(주)스튜디오디에이치엘,비직배,청소년관람불가,139,19849,25439,30616,1.54,220,45849,11.3,103223,8.9,3,242722950,5182,2944,4092,2953,2152,1310,1216,1086,683,1114,727,838,569,573,238
56,베러맨,2025-04-09,2024,영국,영국,"뮤지컬,판타지",마이클 그레이시,"씨제이 씨지브이(CJ CGV)(주),찬란",비직배,15세이상관람가,418,21900,24618,30612,1.4,73,116818,5.4,259602,3.5,3,240127300,6336,3143,2841,3554,2736,1221,2069,393,270,480,538,376,333,328,219
57,몬테크리스토 백작,2026-02-13,2024,프랑스,프랑스,드라마,알렉상드르 드 라 파텔리에르,"찬란,(주)버킷스튜디오",비직배,12세이상관람가,100,13177,20949,29566,2.24,296,14777,12.1,35957,18.0,3,248438160,1786,2389,2283,1768,1717,1778,1456,1907,1648,1390,736,687,949,455,1022
58,퀴어,2025-06-20,,이탈리아,이탈리아,드라마,루카 구아다니노,(주)누리픽쳐스,비직배,청소년관람불가,235,17202,23160,29104,1.69,124,64015,6.9,162615,6.5,3,279192200,4406,3422,2717,1667,1391,2060,1539,1236,1357,1282,582,617,455,429,333
59,척의 일생,2025-12-24,2024,미국,미국,"드라마,판타지",마이크 플래너건,워터홀컴퍼니(주),비직배,15세이상관람가,167,15833,21700,27793,1.76,166,21889,16.1,57276,11.2,3,268950730,3524,2559,2410,1943,2051,1476,1870,2003,912,550,979,671,378,374,371
60,나의 올드 오크,2024-01-17,2023,아일랜드,아일랜드,드라마,켄 로치,(주)영화사 진진,비직배,15세이상관람가,83,9918,14777,26446,2.67,319,13046,16.8,38435,12.9,3,242020906,2195,1270,1214,2013,1737,671,818,567,710,591,1009,1010,443,529,744
61,리틀 엠마,2024-10-25,2024,미국,미국,애니메이션,레오 루이스 랴오,(주)블루라벨픽쳐스,비직배,전체관람가,212,12897,22197,26297,2.04,124,18728,9.6,95009,11.1,3,189395100,1791,4204,4510,216,621,320,1235,369,3240,3405,1208,309,436,333,164
62,북극백화점의 안내원,2024-06-19,2023,일본,일본,애니메이션,이타즈 요시미,(주)팬엔터테인먼트,비직배,전체관람가,170,16573,22590,25928,1.56,153,44360,10.3,84919,8.8,3,225470800,4588,1845,1395,3311,2808,948,1678,1315,822,572,1476,801,416,615,263
63,굿 포츈,2026-01-07,2025,미국,미국,"코미디,판타지",아지즈 안사리,(주)누리픽쳐스,비직배,15세이상관람가,380,23626,25059,25871,1.1,68,57379,10.6,148240,6.6,3,227897170,6072,4322,3700,3352,2764,1543,1873,151,230,170,225,181,265,211,111
64,노스페라투,2025-01-15,2024,미국,미국,공포(호러),로버트 에거스,유니버설픽쳐스인터내셔널 코리아(유),직배,청소년관람불가,362,18547,22083,25830,1.39,71,82696,4.6,185756,5.1,3,263917500,3822,2133,2496,4074,2964,1520,1538,331,501,364,669,672,614,385,191
65,르누아르,2026-04-22,2025,일본,"일본,프랑스",드라마,하야카와 치에,메가박스중앙(주),비직배,12세이상관람가,132,12929,18724,25468,1.97,193,27843,12.5,70142,7.7,3,188773340,3468,1251,1409,2322,1669,868,1942,1439,820,831,1033,750,652,270,720
66,석류의 빛깔,2025-11-26,1969,소련,소련,드라마,세르게이 파라자노프,"주식회사 오디언스,(주)플레이그램",비직배,12세이상관람가,59,11091,16330,25334,2.28,429,8415,35.4,25122,18.6,3,255924800,2983,1564,1219,1914,1544,930,937,859,538,459,1246,1070,515,552,394
67,마리아,2025-04-16,,영국,영국,드라마,파블로 라라인,판씨네마(주),비직배,15세이상관람가,273,13606,19134,25082,1.84,92,48750,6.0,127584,4.9,3,225762160,2933,1725,1955,2467,1872,1237,1417,1549,779,715,820,647,487,531,235
68,포풍추영,2025-09-20,2025,홍콩,"홍콩,중국","액션,범죄",래리 양,(주)디스테이션,비직배,15세이상관람가,106,14666,19784,24921,1.7,235,20235,24.6,41892,26.4,2,282691000,4968,6106,944,1004,579,484,581,841,760,355,915,519,851,877,782
69,용감한 돌고래 벨루와 바닷속 친구들,2024-03-13,2023,캐나다,캐나다,애니메이션,,"찬란,(주)빅브라더스",비직배,전체관람가,180,11518,21771,24426,2.12,136,11226,3.0,58703,15.7,3,179074580,334,239,399,4144,4655,435,1312,332,483,1000,3990,3974,188,286,69
70,누벨바그,2025-12-31,2025,프랑스,프랑스,드라마,리차드 링클레이터,메가박스중앙(주),비직배,12세이상관람가,141,13483,18336,23477,1.74,167,24163,16.8,56579,10.0,3,189037750,4051,1404,1319,2514,1830,996,1369,438,1030,803,909,895,399,379,1103
71,화이트 버드,2025-03-12,2023,미국,미국,드라마,마크 포스터,주식회사 올랄라스토리,비직배,12세이상관람가,198,12222,17173,23194,1.9,117,42125,7.9,108448,5.4,3,172963900,3326,1649,1294,2610,1919,607,817,1190,1253,347,788,609,331,433,934
72,베이비걸,2025-10-29,2024,미국,미국,"스릴러,멜로/로맨스,드라마",할리나 레인,"메가박스중앙(주),주식회사 올랄라스토리",비직배,청소년관람불가,157,15442,19792,22859,1.48,146,52896,11.1,122063,4.5,3,176950720,5865,2008,1480,2267,1699,805,1318,1089,450,484,892,679,465,291,520
73,태풍 클럽,2024-06-26,1985,일본,일본,기타,소마이 신지,엠엔엠인터내셔널(주),비직배,15세이상관람가,51,5901,9867,22793,3.86,447,7259,15.1,20632,12.3,3,230987941,1097,1149,647,1029,872,545,562,631,490,527,898,663,372,385,235
74,미세리코르디아,2025-07-16,2024,프랑스,"프랑스,스페인,포르투갈",드라마,알랭 기로디,엠엔엠인터내셔널(주),비직배,청소년관람불가,42,4485,10302,22766,5.08,542,5163,16.7,12935,14.9,3,225239950,863,398,422,903,599,593,707,602,524,763,1349,1207,789,583,945
75,연소일기,2024-11-13,2023,홍콩,홍콩,드라마,탁역겸,(주)누리픽쳐스,비직배,15세이상관람가,288,13168,14015,22490,1.71,78,48748,7.5,98965,5.7,3,197373720,3633,1842,2181,1810,1633,706,1363,164,91,128,132,148,79,105,17
76,꼬마돼지 베이브와 타피티,2025-11-13,2025,독일,독일,애니메이션,니나 웰스,(주)박수엔터테인먼트,비직배,전체관람가,359,15428,19623,22441,1.45,63,17711,7.6,107294,11.4,3,180779700,1347,1565,5307,5352,605,886,366,692,781,937,1034,389,187,175,49
77,고스트캣 앙주,2025-01-22,2024,일본,일본,애니메이션,"야마시타 노부히로,쿠노 요코",와이드 릴리즈(주),비직배,전체관람가,137,11915,17746,21364,1.79,156,34880,6.6,76709,7.5,3,189188300,2285,1462,1343,2225,2171,1423,1006,957,1382,743,1198,903,330,318,177
78,200% 울프: 최강 푸들이 될 거야!,2025-03-12,2024,호주,호주,애니메이션,알렉스 슈타더만,(주)팝엔터테인먼트,비직배,전체관람가,237,12405,17203,20261,1.63,85,13370,5.4,94574,11.3,3,151062900,726,428,673,4522,5536,110,410,315,218,281,1912,1943,10,119,165
79,바커스: 슈퍼스타가 될 거야,2024-06-01,2022,러시아,러시아,애니메이션,,"와이드 릴리즈(주),(주)태양미디어그룹",비직배,전체관람가,173,13121,16858,20194,1.54,117,33807,11.6,64591,10.9,2,143076100,3907,3134,302,502,148,3436,1692,1706,1780,45,29,41,123,13,208
80,펫 트레인,2026-03-28,2025,프랑스,프랑스,애니메이션,,"(주)스튜디오디에이치엘,(주)플레이그램",비직배,전체관람가,184,12054,18666,20011,1.66,109,36182,16.6,70475,16.4,2,151223550,6012,5547,174,164,83,34,40,3565,2748,21,41,46,96,95,353
81,비욘드 유토피아,2024-01-31,2023,미국,미국,다큐멘터리,매들린 개빈,"스튜디오 초이스 주식회사,(주)드림팩트엔터테인먼트,(주)스마일이엔티",비직배,12세이상관람가,158,9437,13038,19878,2.11,126,31921,4.9,84142,4.7,3,188993099,1564,1031,703,1334,1909,864,2032,335,456,591,468,535,878,338,105
82,탐정 말로,2024-03-21,2022,아일랜드,"아일랜드,미국","범죄,액션,스릴러",닐 조단,(주)바이포엠스튜디오,비직배,15세이상관람가,183,16686,19512,19546,1.17,107,38967,10.9,99087,8.9,3,142410400,4247,3479,2877,2438,859,1485,1301,751,550,443,355,151,573,3,6
83,새벽의 모든,2024-09-18,2024,일본,일본,드라마,미야케 쇼,(주)디오시네마,비직배,전체관람가,118,13286,16119,19482,1.47,165,14103,19.7,46246,14.5,3,180713300,2782,1454,2404,2415,1902,860,1469,560,292,366,514,472,276,353,163
84,우리에게는 아직 내일이 있다,2026-03-04,2023,이탈리아,이탈리아,드라마,,(주)콘텐츠판다,비직배,12세이상관람가,84,8439,14268,19378,2.3,231,11100,13.0,30219,14.2,3,167570340,1448,764,671,1479,2155,739,1183,869,590,854,1179,981,787,569,312
85,"1초 앞, 1초 뒤",2024-06-19,2023,일본,일본,"멜로/로맨스,판타지",야마시타 노부히로,"(주)빌리언스플러스,(주)블루라벨픽쳐스",비직배,전체관람가,266,15973,16463,19051,1.19,72,47403,8.0,77179,8.4,3,166231939,3779,2142,1847,2337,2316,1305,2247,93,57,58,64,76,64,78,12
86,두 검사,2026-04-01,2025,프랑스,"프랑스,독일,네덜란드",기타,세르게이 로즈니차,"엠엔엠인터내셔널(주),(주)레드아이스 엔터테인먼트",비직배,15세이상관람가,51,5581,10210,18812,3.37,369,5861,14.8,15633,16.7,3,174723610,865,544,793,992,819,627,941,500,457,519,1174,949,457,573,311
87,리얼 페인,2025-01-15,2024,미국,미국,"드라마,코미디",제시 아이젠버그,월트디즈니컴퍼니코리아 유한책임회사,직배,15세이상관람가,284,11114,13508,18658,1.68,66,62116,2.8,158654,3.5,3,178517080,1732,1460,1473,2212,1846,1175,1216,257,251,254,396,481,348,407,76
88,비발디와 나,2026-04-29,2025,이탈리아,이탈리아,드라마,다미아노 미키엘레토,해피송,비직배,12세이상관람가,49,6280,9646,18242,2.9,372,5559,14.0,16635,17.5,3,160258900,779,565,1006,920,993,702,1315,390,376,433,819,660,316,372,354
89,이매큘레이트,2024-07-17,2024,미국,미국,공포(호러),마이클 모한,(주)디스테이션,비직배,15세이상관람가,191,17279,17656,18142,1.05,95,33910,10.4,83235,9.4,3,168665912,3519,2429,3706,2298,1801,1222,2304,55,68,46,55,77,26,50,2
