순위,영화명,개봉일,제작연도,제작국가,장르,감독,개봉스크린수,첫주관객,첫주상영횟수,최종누적관객,누적매출액,배수,스크린당관객
339,호랑이 소녀,2025-05-07,2023,말레이시아,공포(호러),,20,311,110,409,3899800,1.32,20
340,이사벨라 두크로트 언리미티드,2025-12-24,2024,이탈리아,다큐멘터리,,10,292,40,401,3307000,1.37,40
341,마더스 베이비,2025-12-11,2025,오스트리아 (2),스릴러(1),요한나 모더,5,220,11,360,1800000,1.64,72
342,유코의 평형추,2024-05-01,2020,일본,드라마,하루모토 유지로,6,210,46,356,2399139,1.7,59
343,스퍼마게돈: 사정의 날,2025-10-23,2024,노르웨이,애니메이션(1),"토미 위르콜라 , 라스무스 A. 실버르센",14,317,86,318,3090400,1.0,23
344,나이트 플라워,2026-01-08,2025,일본,드라마,우치다 에이지,16,174,93,274,2677600,1.57,17
345,아카디안,2025-02-13,2024,미국,SF(2),벤자민 브루어,27,248,133,266,2403500,1.07,10
346,보이 킬스 월드,2025-10-16,2024,미국(1),액션,모리츠 모어,20,256,111,256,2442900,1.0,13
347,극장판 후르츠 바스켓: 프렐류드,2024-03-01,2022,일본,애니메이션,이바타 요시히데,5,134,36,237,1729100,1.77,47
348,호리아,2024-12-25,2022,프랑스,드라마,,0,0,0,237,2217300,,
349,"피에르 보나르, 마르타 보나르",2025-11-28,2023,프랑스,멜로/로맨스(1),마르탱 프로보스트,0,0,0,230,1835500,,
350,달의 차고 기움,2024-11-01,2022,일본,드라마,히로키 류이치,0,0,0,221,1606600,,
351,8일 만에 죽은 괴수의 12일 이야기,2024-05-16,2023,일본,드라마,이와이 슌지,5,114,38,183,1211778,1.61,37
352,굿바이 크루얼 월드,2024-07-16,2022,일본,액션(1),오오모리 타츠시,0,0,0,183,1182200,,
353,정크 헤드,2024-09-01,2017,일본,애니메이션,타카히데 호리,0,0,0,170,1224000,,
354,모두가 그녀를 사랑해,2026-02-11,2024,프랑스(1),드라마,나빌 아유쉬,0,0,0,170,1541900,,
355,런 베이비 런,2025-09-04,2023,스페인,스릴러,,0,0,0,168,1121000,,
356,마이 스몰 랜드,2024-02-01,2022,일본,드라마,카와와다 에마,0,0,0,165,1104578,,
357,서치: 데스게임,2024-01-18,2021,러시아,스릴러,안나 자이체바,0,0,0,160,960000,,
358,타이거스 네스트: 호랑이의 보디가드,2024-05-16,2022,이탈리아,어드벤처(1),브란도 쿠일리치,0,0,0,160,1693500,,
359,마이다스 맨: 전설의 시작,2025-09-24,2024,영국,드라마,,0,0,0,160,1124000,,
360,히즈,2024-01-10,2020,일본,드라마,이마이즈미 리키야,0,0,0,158,1266000,,
361,극장판 이치케이의 까마귀,2024-09-16,2023,일본,드라마,타나카 아키라,0,0,0,157,1106000,,
362,나이트콜,2025-03-05,2024,프랑스,액션,,0,0,0,153,932000,,
363,베어헌터,2024-03-28,2022,러시아,어드벤처(1),안톤 머스,0,0,0,148,888000,,
364,지옥의 외인부대,2024-07-24,2023,프랑스,전쟁(1),다비드 오엘호펜,0,0,0,148,896000,,
365,썬 오브 람세스,2024-02-07,2022,프랑스,스릴러(2),클레망 코지토르,6,87,31,145,1180600,1.67,24
366,극장판 오드 택시 인 더 우즈,2024-02-16,2022,일본,애니메이션,키노시타 바쿠,0,0,0,143,965039,,
367,닥터 코토 진료소,2024-10-16,2022,일본,드라마,나카에 이사무,0,0,0,137,913500,,
368,베이비 어쌔신: 나이스 데이즈,2025-02-26,2024,일본,액션(1),사카모토 유고,0,0,0,130,1124500,,
369,성욕주의: 은밀한 밀회,2025-07-31,2024,대만,멜로/로맨스(1),양야체,0,0,0,128,708000,,
370,부르달락: 흡혈귀,2024-03-28,2023,프랑스,기타,에이드리언 보우,0,0,0,126,756000,,
371,그레이트 칸,2024-05-23,2022,카자흐스탄,액션(1),,0,0,0,122,732000,,
372,유어 럭키 데이,2024-02-22,2023,미국,액션(1),,0,0,0,114,684000,,
373,사다코 디엑스,2024-07-01,2022,일본,공포(호러),키무라 히사시,0,0,0,108,751900,,
374,서바이브,2025-01-23,2024,프랑스(1),스릴러(2),프레데릭쟈댕,0,0,0,104,624000,,
375,썬레이: 폴른 솔저,2025-05-15,2024,영국,범죄(1),,0,0,0,88,528000,,
376,2147,2025-02-27,2024,스페인,SF,,0,0,0,84,504000,,
377,거북의 등딱지는 갈비뼈,2024-06-01,2022,일본,애니메이션,모리 · 마사,0,0,0,82,489500,,
378,공백,2024-03-16,2021,한국,드라마,신시정,0,0,0,80,565500,,
379,섀도우 오브 파이어,2024-12-01,2023,일본,드라마,츠카모토 신야,0,0,0,80,553000,,
380,아토맨: 뉴 히어로,2025-11-20,2025,벨기에(1),액션(1),,0,0,0,78,468000,,
381,허 바디,2024-10-31,2023,체코,드라마,,0,0,0,72,432000,,
382,심패티 포 데블,2026-04-15,2023,미국(2),액션(1),유발 애들러,0,0,0,65,390000,,
383,더치스: 복수의 화신,2026-03-05,2024,영국,액션(1),닐 마샬,0,0,0,60,360000,,
