순위,영화명,개봉일,대표국적,등급,장르,감독,배급사,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
44,멜라니아,2026-01-30,미국,12세이상관람가,다큐멘터리,브렛 래트너,(주)누리픽쳐스,77,77,7110,4169,7110,7110,1.0,58.6,7848,23.9,22087,18.9,확정,1872,1184,1113,644,629,295,1373,0,0,0,0,0,0,0,0
45,최후의 만찬,2026-06-04,미국,12세이상관람가,드라마,,"(주)드림팩트엔터테인먼트,루디아코프",78,80,3369,2042,4470,7017,2.08,60.6,8403,6.7,22936,8.9,확정,561,440,863,739,234,336,196,191,233,118,272,168,70,49,3
46,극장판 미스터리라 하지 말지어다,2024-11-27,일본,12세이상관람가,"범죄,드라마,미스터리",마츠야마 히로아키,(주)미디어캐슬,99,99,4979,2338,5595,6748,1.36,47.0,20120,5.3,47946,4.9,확정,1072,711,909,814,615,420,438,101,96,111,51,56,94,107,5
47,장난을 잘 치는 타카기 양,2025-03-05,일본,12세이상관람가,"멜로/로맨스,코미디",이마이즈미 리키야,TCO(주)더콘텐츠온,127,127,5082,2889,6062,6595,1.3,56.8,29660,3.5,63326,4.6,확정,1036,618,570,1298,1021,262,277,158,93,120,280,200,57,72,61
48,노 웨이 업,2024-06-19,영국,15세이상관람가,"액션,스릴러",클라우디오 파,스튜디오 에이드,147,147,5995,1859,6220,6580,1.1,31.0,32853,5.8,50806,3.7,확정,1896,1668,534,735,590,301,271,69,42,39,8,10,28,29,0
49,아서,2024-04-17,미국,12세이상관람가,"어드벤처,드라마",사이먼 셀란 존스,(주)누리픽쳐스,113,121,5209,3137,5605,6525,1.25,60.2,18956,3.5,53096,5.9,확정,670,580,680,1369,1088,417,405,34,39,52,28,23,39,181,287
50,수 분간의 응원을,2024-09-25,일본,전체관람가,드라마,포푸리카,(주)애니플러스,82,84,4065,1693,4832,5849,1.44,41.6,18151,7.2,45555,3.7,확정,1310,381,481,646,566,414,267,114,205,117,153,71,48,59,358
51,스트레인저스: 챕터1,2024-08-28,미국,15세이상관람가,공포(호러),레니 할린,판씨네마(주),223,223,4958,2180,5077,5555,1.12,44.0,33972,3.8,68880,3.2,확정,1291,835,695,831,654,293,359,8,7,44,26,28,3,3,5
52,물은 바다를 향해 흐른다,2024-08-07,일본,12세이상관람가,드라마,마에다 테츠,트윈플러스파트너스(주),57,57,4384,1371,4708,5269,1.2,31.3,8024,14.4,21571,6.4,확정,1153,822,459,535,377,350,688,56,33,19,31,32,21,132,4
53,킹덤 3: 운명의 불꽃,2024-01-17,일본,15세이상관람가,"액션,전쟁",사토 신스케,"와이드 릴리즈(주),(주)플레이그램,(주)이놀미디어",136,136,4532,1837,4660,5008,1.11,40.5,27194,4.9,55546,3.3,확정,1322,933,907,442,488,211,229,43,22,16,20,18,5,4,11
54,"아도 스페셜 라이브 ""신조우"" 인 시네마",2025-04-23,일본,전체관람가,공연,,와이드 릴리즈(주),42,55,3012,1604,4026,4435,1.47,53.3,,,,,확정,824,341,657,585,362,115,128,155,243,202,122,119,78,95,79
55,까이마 : 저주의 무덤,2025-12-11,베트남,15세이상관람가,"공포(호러),미스터리",,(주)메이킹에이프린트,50,50,4051,1487,4197,4197,1.04,36.7,7592,21.4,17306,8.6,확정,1621,522,604,361,222,323,398,21,24,26,21,4,50,0,0
56,엑소시스트: 더 데빌,2024-09-25,미국,12세이상관람가,공포(호러),호세 프렌데스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",161,161,3622,1948,3826,4011,1.11,53.8,22165,3.7,50986,3.8,확정,827,397,489,820,639,362,88,83,24,27,20,18,16,16,3
57,스페셜즈,2026-03-13,일본,15세이상관람가,"코미디,액션",우치다 에이지,(주)바이포엠스튜디오,49,49,3732,3546,3741,3868,1.04,95.0,6502,2.3,19759,17.9,확정,152,1362,2032,80,57,18,31,6,1,1,0,1,0,0,0
58,도쿄 리벤저스2: 결전,2025-10-10,일본,15세이상관람가,"액션,드라마",하나부사 츠토무,(주)플레이그램,46,48,3605,2283,3715,3736,1.04,63.3,6837,16.5,19168,11.9,확정,1131,698,454,241,271,231,579,15,29,29,14,20,0,3,4
59,어프렌티스,2024-10-23,캐나다,청소년관람불가,드라마,알리 아바시,(주)누리픽쳐스,67,67,1984,882,2158,3022,1.52,44.5,9764,2.8,24559,3.6,확정,276,252,232,346,304,233,341,26,14,14,50,28,5,37,3
60,썸머 블루 아워,2025-09-17,대만,12세이상관람가,"멜로/로맨스,드라마",,(주)누리픽쳐스,67,67,1126,554,1138,2686,2.39,49.2,9481,2.3,23441,2.4,확정,221,142,184,166,204,90,119,0,1,10,0,0,0,1,0
61,더 엑소시즘,2025-01-15,미국,15세이상관람가,공포(호러),,(주)누리픽쳐스,117,117,2469,1315,2484,2484,1.01,53.3,17696,2.5,44669,2.9,확정,450,323,319,474,522,205,176,6,4,5,0,0,0,0,0
