날짜,영화명,좌석수,좌석판매율,좌석점유율
2024-01-01,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,195315,29.8%,7.9%
2024-01-01,아쿠아맨과 로스트 킹덤,192829,25.6%,7.8%
2024-01-01,트롤: 밴드 투게더,110295,26.2%,4.4%
2024-01-01,괴물,32834,26.5%,1.3%
2024-01-01,더 퍼스트 슬램덩크,801,25.3%,0.0%
2024-01-01,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",27831,23.2%,1.1%
2024-01-01,말하고 싶은 비밀,16109,23.3%,0.6%
2024-01-01,류이치 사카모토: 오퍼스,31889,9.4%,1.2%
2024-01-01,크레센도,13449,18.8%,0.5%
2024-01-01,사랑은 낙엽을 타고,3777,27.8%,0.1%
2024-01-01,리빙: 어떤 인생,3294,22.1%,0.1%
2024-01-01,클레오의 세계,131,15.2%,0.0%
2024-01-01,나폴레옹,3146,17.1%,0.1%
2024-01-01,그대들은 어떻게 살 것인가,1862,17.0%,0.0%
2024-01-01,피아니스트의 전설,2051,14.3%,0.0%
2024-01-01,티처스 라운지,2575,11.2%,0.1%
2024-01-01,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,1373,14.2%,0.0%
2024-01-01,쏘우 X,1788,13.9%,0.0%
2024-01-01,드라이브 마이 카,692,20.6%,0.0%
2024-01-01,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,539,22.4%,0.0%
2024-01-01,힐마 아프 클린트 - 미래를 위한 그림,1085,7.8%,0.0%
2024-01-01,이터널 선샤인,152,69.7%,0.0%
2024-01-01,립세의 사계,729,40.3%,0.0%
2024-01-01,쿼바디스,900,32.4%,0.0%
2024-01-01,2만 종의 벌,1284,4.3%,0.0%
2024-01-01,"그리고, 살아간다",1027,6.8%,0.0%
2024-01-01,조이랜드,212,4.7%,0.0%
2024-01-01,블루 자이언트,163,39.2%,0.0%
2024-01-01,모정,1144,13.2%,0.0%
2024-01-01,공포의 보수,340,15.2%,0.0%
2024-01-01,패티코트 작전,780,8.2%,0.0%
2024-01-01,토스카,463,11.6%,0.0%
2024-01-01,릴리 슈슈의 모든 것,116,0.8%,0.0%
2024-01-01,러브레터,52,73.0%,0.0%
2024-01-01,프레디의 피자가게,336,10.4%,0.0%
2024-01-01,헝거게임: 노래하는 새와 뱀의 발라드,253,16.9%,0.0%
2024-01-01,에브리씽 에브리웨어 올 앳 원스,123,17.0%,0.0%
2024-01-01,어느 가족,93,49.4%,0.0%
2024-01-01,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,203,21.1%,0.0%
2024-01-01,가위손,152,7.2%,0.0%
2024-01-01,찬란한 내일로,50,82.0%,0.0%
2024-01-01,동경 이야기,58,27.5%,0.0%
2024-01-01,날씨의 아이,128,3.1%,0.0%
2024-01-01,형제는 용감하였다,597,5.3%,0.0%
2024-01-01,그렇게 아버지가 된다,76,38.1%,0.0%
2024-01-01,너의 이름은.,170,9.4%,0.0%
2024-01-01,러브액츄얼리: 크리스마스 에디션,40,35.0%,0.0%
2024-01-01,스즈메의 문단속,143,1.3%,0.0%
2024-01-01,안녕하세요,58,27.5%,0.0%
2024-01-01,너는 내 아들,52,21.1%,0.0%
2024-01-01,키리에의 노래: 디렉터스 컷,148,0.6%,0.0%
2024-01-01,샤인 리마스터링,90,8.8%,0.0%
2024-01-01,견왕: 이누오,128,0.7%,0.0%
2024-01-01,거울 속 외딴 성,123,1.6%,0.0%
2024-01-01,이빨요정 비올레타: 요정나라로 돌아갈래!,170,0.5%,0.0%
2024-01-01,나 혼자만 레벨업 : 프리뷰,128,3.1%,0.0%
2024-01-01,라스트 서바이버,91,1.0%,0.0%
2024-01-02,위시,255,100.0%,0.0%
2024-01-02,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,157932,12.2%,7.1%
2024-01-02,아쿠아맨과 로스트 킹덤,187044,7.9%,8.4%
2024-01-02,트롤: 밴드 투게더,72492,10.4%,3.2%
2024-01-02,괴물,35465,12.3%,1.6%
2024-01-02,더 퍼스트 슬램덩크,312,7.0%,0.0%
2024-01-02,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",23824,14.0%,1.0%
2024-01-02,말하고 싶은 비밀,15526,10.1%,0.7%
2024-01-02,류이치 사카모토: 오퍼스,35755,5.2%,1.6%
2024-01-02,크레센도,15050,12.7%,0.6%
2024-01-02,사랑은 낙엽을 타고,3891,9.1%,0.1%
2024-01-02,리빙: 어떤 인생,2383,15.9%,0.1%
2024-01-02,클레오의 세계,91,2.1%,0.0%
2024-01-02,나폴레옹,4123,10.2%,0.1%
2024-01-02,그대들은 어떻게 살 것인가,2089,10.6%,0.0%
2024-01-02,피아니스트의 전설,2518,7.4%,0.1%
2024-01-02,티처스 라운지,3004,7.2%,0.1%
2024-01-02,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,331,19.3%,0.0%
2024-01-02,쏘우 X,1528,11.1%,0.0%
2024-01-02,드라이브 마이 카,1004,12.7%,0.0%
2024-01-02,노 베어스,126,100.0%,0.0%
2024-01-02,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,825,8.9%,0.0%
2024-01-02,힐마 아프 클린트 - 미래를 위한 그림,2405,5.6%,0.1%
2024-01-02,사람보,1500,12.2%,0.0%
2024-01-02,미녀와 건달,1144,13.2%,0.0%
2024-01-02,이터널 선샤인,100,60.0%,0.0%
2024-01-02,2만 종의 벌,1455,3.2%,0.0%
2024-01-02,"그리고, 살아간다",784,4.7%,0.0%
2024-01-02,조이랜드,612,8.1%,0.0%
2024-01-02,블루 자이언트,123,5.6%,0.0%
2024-01-02,공포의 보수,340,14.1%,0.0%
2024-01-02,패티코트 작전,520,7.5%,0.0%
2024-01-02,호두까기 인형,678,6.6%,0.0%
2024-01-02,스노우 폭스: 썰매개가 될 거야!,197,42.1%,0.0%
2024-01-02,버팔로 대대,759,8.4%,0.0%
2024-01-02,릴리 슈슈의 모든 것,116,2.5%,0.0%
2024-01-02,프레디의 피자가게,183,7.6%,0.0%
2024-01-02,헝거게임: 노래하는 새와 뱀의 발라드,157,22.9%,0.0%
2024-01-02,에브리씽 에브리웨어 올 앳 원스,123,8.1%,0.0%
2024-01-02,바람과 함께 사라지다,398,12.5%,0.0%
2024-01-02,무방비 도시,212,9.4%,0.0%
2024-01-02,날씨의 아이,128,0.7%,0.0%
2024-01-02,너의 이름은.,164,1.2%,0.0%
2024-01-02,엘리자벳과 나,136,2.2%,0.0%
2024-01-02,러브액츄얼리: 크리스마스 에디션,40,22.5%,0.0%
2024-01-02,꽁치의 맛,92,26.0%,0.0%
2024-01-02,마에스트로 번스타인,152,9.2%,0.0%
2024-01-02,스즈메의 문단속,148,2.0%,0.0%
2024-01-02,그랜드 호텔,212,8.0%,0.0%
2024-01-02,키리에의 노래: 디렉터스 컷,148,0.6%,0.0%
2024-01-02,샤인 리마스터링,40,15.0%,0.0%
2024-01-02,웨스턴 프론트: 서부전선,37,27.0%,0.0%
2024-01-02,"여름을 향한 터널, 이별의 출구",126,3.9%,0.0%
2024-01-02,거울 속 외딴 성,123,0.8%,0.0%
2024-01-02,이빨요정 비올레타: 요정나라로 돌아갈래!,170,2.9%,0.0%
2024-01-02,라스트 서바이버,91,1.0%,0.0%
2024-01-03,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,123882,11.6%,5.2%
2024-01-03,아쿠아맨과 로스트 킹덤,122238,6.7%,5.2%
2024-01-03,트롤: 밴드 투게더,41062,8.6%,1.7%
2024-01-03,괴물,35559,11.2%,1.5%
2024-01-03,더 퍼스트 슬램덩크,186,4.3%,0.0%
2024-01-03,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",18994,11.9%,0.8%
2024-01-03,말하고 싶은 비밀,11767,8.9%,0.5%
2024-01-03,류이치 사카모토: 오퍼스,23089,5.9%,0.9%
2024-01-03,크레센도,12330,12.1%,0.5%
2024-01-03,사랑은 낙엽을 타고,2942,15.9%,0.1%
2024-01-03,리빙: 어떤 인생,3251,9.2%,0.1%
2024-01-03,클레오의 세계,6554,6.8%,0.2%
2024-01-03,나폴레옹,1650,8.6%,0.0%
2024-01-03,그대들은 어떻게 살 것인가,1496,9.8%,0.0%
2024-01-03,피아니스트의 전설,2041,7.0%,0.0%
2024-01-03,티처스 라운지,2345,5.8%,0.0%
2024-01-03,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,1013,11.1%,0.0%
2024-01-03,쏘우 X,616,16.0%,0.0%
2024-01-03,드라이브 마이 카,470,14.0%,0.0%
2024-01-03,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,379,10.5%,0.0%
2024-01-03,힐마 아프 클린트 - 미래를 위한 그림,924,5.9%,0.0%
2024-01-03,이터널 선샤인,102,61.7%,0.0%
2024-01-03,2만 종의 벌,520,5.7%,0.0%
2024-01-03,"그리고, 살아간다",893,2.3%,0.0%
2024-01-03,조이랜드,1174,1.7%,0.0%
2024-01-03,블루 자이언트,123,2.4%,0.0%
2024-01-03,공포의 보수,340,15.0%,0.0%
2024-01-03,패티코트 작전,520,8.8%,0.0%
2024-01-03,릴리 슈슈의 모든 것,168,25.5%,0.0%
2024-01-03,프레디의 피자가게,143,2.7%,0.0%
2024-01-03,에브리씽 에브리웨어 올 앳 원스,123,4.8%,0.0%
2024-01-03,너의 이름은.,168,0.5%,0.0%
2024-01-03,스즈메의 문단속,148,1.3%,0.0%
2024-01-03,샤인 리마스터링,52,0.0%,0.0%
2024-01-03,견왕: 이누오,128,1.5%,0.0%
2024-01-03,거울 속 외딴 성,123,0.8%,0.0%
2024-01-03,라스트 서바이버,91,1.0%,0.0%
2024-01-04,위시,563986,12.1%,24.2%
2024-01-04,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,115169,10.5%,4.9%
2024-01-04,아쿠아맨과 로스트 킹덤,104978,6.8%,4.5%
2024-01-04,트롤: 밴드 투게더,38088,8.1%,1.6%
2024-01-04,괴물,33573,10.4%,1.4%
2024-01-04,더 퍼스트 슬램덩크,62434,12.9%,2.6%
2024-01-04,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",18217,10.7%,0.7%
2024-01-04,말하고 싶은 비밀,11227,9.2%,0.4%
2024-01-04,류이치 사카모토: 오퍼스,21596,8.1%,0.9%
2024-01-04,크레센도,11817,10.6%,0.5%
2024-01-04,인투 더 월드,5898,100.0%,0.2%
2024-01-04,사랑은 낙엽을 타고,3919,12.5%,0.1%
2024-01-04,리빙: 어떤 인생,2223,13.8%,0.0%
2024-01-04,클레오의 세계,5726,5.6%,0.2%
2024-01-04,나폴레옹,2022,7.4%,0.0%
2024-01-04,그대들은 어떻게 살 것인가,1420,10.4%,0.0%
2024-01-04,피아니스트의 전설,1500,6.6%,0.0%
2024-01-04,티처스 라운지,2375,5.6%,0.1%
2024-01-04,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,506,10.8%,0.0%
2024-01-04,쏘우 X,537,17.6%,0.0%
2024-01-04,드라이브 마이 카,510,16.0%,0.0%
2024-01-04,덤 머니,512,100.0%,0.0%
2024-01-04,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,655,6.1%,0.0%
2024-01-04,힐마 아프 클린트 - 미래를 위한 그림,978,6.3%,0.0%
2024-01-04,사람보,1500,9.4%,0.0%
2024-01-04,미녀와 건달,1144,11.3%,0.0%
2024-01-04,이터널 선샤인,102,34.3%,0.0%
2024-01-04,2만 종의 벌,562,5.6%,0.0%
2024-01-04,"그리고, 살아간다",1056,1.9%,0.0%
2024-01-04,와일드 투어,50,66.0%,0.0%
2024-01-04,조이랜드,340,5.2%,0.0%
2024-01-04,블루 자이언트,123,11.3%,0.0%
2024-01-04,동경의 황혼,58,39.6%,0.0%
2024-01-04,사랑의 스잔나,1522,2.7%,0.0%
2024-01-04,토스카,44,90.9%,0.0%
2024-01-04,전함 발진하라,780,8.5%,0.0%
2024-01-04,스노우 폭스: 썰매개가 될 거야!,137,13.1%,0.0%
2024-01-04,악마의 제자들,759,6.3%,0.0%
2024-01-04,러브레터,52,9.6%,0.0%
2024-01-04,프레디의 피자가게,64,12.5%,0.0%
2024-01-04,패터슨,91,79.1%,0.0%
2024-01-04,가버나움,91,68.1%,0.0%
2024-01-04,에브리씽 에브리웨어 올 앳 원스,123,1.6%,0.0%
2024-01-04,리오 브라보,597,2.5%,0.0%
2024-01-04,황혼의 빛,230,17.8%,0.0%
2024-01-04,동경 이야기,58,37.9%,0.0%
2024-01-04,해바라기,212,6.1%,0.0%
2024-01-04,날씨의 아이,128,4.6%,0.0%
2024-01-04,열정,40,82.5%,0.0%
2024-01-04,겨울 이야기,230,13.0%,0.0%
2024-01-04,너의 이름은.,168,1.7%,0.0%
2024-01-04,엘리자벳과 나,98,3.0%,0.0%
2024-01-04,해피 아워,40,67.5%,0.0%
2024-01-04,황금마차,212,11.7%,0.0%
2024-01-04,스즈메의 문단속,148,0.6%,0.0%
2024-01-04,우연과 상상,40,47.5%,0.0%
2024-01-04,키리에의 노래: 디렉터스 컷,148,0.6%,0.0%
2024-01-04,악의 꽃,230,5.6%,0.0%
2024-01-04,엔니오: 더 마에스트로,120,1.6%,0.0%
2024-01-04,견왕: 이누오,128,0.7%,0.0%
2024-01-04,거울 속 외딴 성,123,0.8%,0.0%
2024-01-04,슬픔의 삼각형,120,0.8%,0.0%
2024-01-05,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,120522,13.1%,4.9%
2024-01-05,아쿠아맨과 로스트 킹덤,104969,8.7%,4.3%
2024-01-05,트롤: 밴드 투게더,39889,8.8%,1.6%
2024-01-05,괴물,36376,13.6%,1.5%
2024-01-05,더 퍼스트 슬램덩크,59621,10.0%,2.4%
2024-01-05,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",17970,9.9%,0.7%
2024-01-05,말하고 싶은 비밀,10982,11.8%,0.4%
2024-01-05,류이치 사카모토: 오퍼스,17636,5.8%,0.7%
2024-01-05,크레센도,12064,12.4%,0.4%
2024-01-05,사랑은 낙엽을 타고,2923,16.1%,0.1%
2024-01-05,리빙: 어떤 인생,2695,14.5%,0.1%
2024-01-05,클레오의 세계,6256,5.0%,0.2%
2024-01-05,나폴레옹,1895,7.9%,0.0%
2024-01-05,그대들은 어떻게 살 것인가,1443,10.1%,0.0%
2024-01-05,피아니스트의 전설,1564,7.7%,0.0%
2024-01-05,티처스 라운지,2706,4.1%,0.1%
2024-01-05,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,855,10.8%,0.0%
2024-01-05,쏘우 X,537,24.0%,0.0%
2024-01-05,드라이브 마이 카,506,12.0%,0.0%
2024-01-05,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,444,9.0%,0.0%
2024-01-05,힐마 아프 클린트 - 미래를 위한 그림,1417,5.2%,0.0%
2024-01-05,이터널 선샤인,104,48.0%,0.0%
2024-01-05,2만 종의 벌,408,2.9%,0.0%
2024-01-05,"그리고, 살아간다",848,2.0%,0.0%
2024-01-05,조이랜드,300,5.3%,0.0%
2024-01-05,블루 자이언트,203,26.1%,0.0%
2024-01-05,릴리 슈슈의 모든 것,116,0.8%,0.0%
2024-01-05,프레디의 피자가게,64,12.5%,0.0%
2024-01-05,에브리씽 에브리웨어 올 앳 원스,123,9.7%,0.0%
2024-01-05,가위손,152,3.2%,0.0%
2024-01-05,날씨의 아이,128,4.6%,0.0%
2024-01-05,너의 이름은.,168,0.5%,0.0%
2024-01-05,러브액츄얼리: 크리스마스 에디션,40,7.5%,0.0%
2024-01-05,스즈메의 문단속,317,0.6%,0.0%
2024-01-05,너는 내 아들,52,7.6%,0.0%
2024-01-05,키리에의 노래: 디렉터스 컷,148,3.3%,0.0%
2024-01-06,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,128525,22.9%,4.9%
2024-01-06,아쿠아맨과 로스트 킹덤,90168,19.2%,3.4%
2024-01-06,트롤: 밴드 투게더,44713,13.6%,1.7%
2024-01-06,괴물,36346,22.0%,1.3%
2024-01-06,더 퍼스트 슬램덩크,49897,15.4%,1.9%
2024-01-06,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",23711,11.6%,0.9%
2024-01-06,말하고 싶은 비밀,9947,17.0%,0.3%
2024-01-06,류이치 사카모토: 오퍼스,17812,9.4%,0.6%
2024-01-06,크레센도,11817,14.8%,0.4%
2024-01-06,사랑은 낙엽을 타고,4304,20.6%,0.1%
2024-01-06,리빙: 어떤 인생,3267,16.5%,0.1%
2024-01-06,클레오의 세계,6422,14.1%,0.2%
2024-01-06,나폴레옹,2345,10.7%,0.0%
2024-01-06,그대들은 어떻게 살 것인가,1868,12.0%,0.0%
2024-01-06,피아니스트의 전설,1866,12.7%,0.0%
2024-01-06,티처스 라운지,1939,7.7%,0.0%
2024-01-06,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,1218,28.4%,0.0%
2024-01-06,쏘우 X,412,28.6%,0.0%
2024-01-06,드라이브 마이 카,512,25.1%,0.0%
2024-01-06,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,901,10.4%,0.0%
2024-01-06,힐마 아프 클린트 - 미래를 위한 그림,413,13.0%,0.0%
2024-01-06,이터널 선샤인,102,45.0%,0.0%
2024-01-06,2만 종의 벌,526,4.9%,0.0%
2024-01-06,"그리고, 살아간다",904,3.8%,0.0%
2024-01-06,조이랜드,732,7.1%,0.0%
2024-01-06,블루 자이언트,123,6.5%,0.0%
2024-01-06,토스카,432,8.7%,0.0%
2024-01-06,릴리 슈슈의 모든 것,116,0.8%,0.0%
2024-01-06,러브레터,50,80.0%,0.0%
2024-01-06,프레디의 피자가게,143,8.3%,0.0%
2024-01-06,에브리씽 에브리웨어 올 앳 원스,123,4.0%,0.0%
2024-01-06,날씨의 아이,128,4.6%,0.0%
2024-01-06,너의 이름은.,294,1.7%,0.0%
2024-01-06,스즈메의 문단속,191,0.5%,0.0%
2024-01-06,키리에의 노래: 디렉터스 컷,148,0.6%,0.0%
2024-01-06,샤인 리마스터링,90,0.0%,0.0%
2024-01-06,견왕: 이누오,128,0.7%,0.0%
2024-01-07,위시,818785,20.4%,32.6%
2024-01-07,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,127255,24.6%,5.0%
2024-01-07,아쿠아맨과 로스트 킹덤,86015,18.2%,3.4%
2024-01-07,트롤: 밴드 투게더,45263,14.5%,1.8%
2024-01-07,괴물,35301,20.7%,1.4%
2024-01-07,더 퍼스트 슬램덩크,48942,16.8%,1.9%
2024-01-07,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",22853,14.1%,0.9%
2024-01-07,말하고 싶은 비밀,9810,21.4%,0.3%
2024-01-07,류이치 사카모토: 오퍼스,16732,9.3%,0.6%
2024-01-07,크레센도,11222,12.9%,0.4%
2024-01-07,사랑은 낙엽을 타고,4247,14.7%,0.1%
2024-01-07,리빙: 어떤 인생,3337,18.5%,0.1%
2024-01-07,클레오의 세계,6211,8.8%,0.2%
2024-01-07,나폴레옹,1736,10.1%,0.0%
2024-01-07,그대들은 어떻게 살 것인가,1432,11.1%,0.0%
2024-01-07,피아니스트의 전설,1650,12.1%,0.0%
2024-01-07,티처스 라운지,2060,6.5%,0.0%
2024-01-07,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,1301,17.9%,0.0%
2024-01-07,쏘우 X,698,18.1%,0.0%
2024-01-07,드라이브 마이 카,430,24.6%,0.0%
2024-01-07,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,514,22.5%,0.0%
2024-01-07,힐마 아프 클린트 - 미래를 위한 그림,674,7.2%,0.0%
2024-01-07,이터널 선샤인,104,72.1%,0.0%
2024-01-07,2만 종의 벌,442,3.1%,0.0%
2024-01-07,"그리고, 살아간다",889,1.9%,0.0%
2024-01-07,조이랜드,148,6.0%,0.0%
2024-01-07,블루 자이언트,165,15.1%,0.0%
2024-01-07,호두까기 인형,700,14.1%,0.0%
2024-01-07,릴리 슈슈의 모든 것,166,25.3%,0.0%
2024-01-07,프레디의 피자가게,64,1.5%,0.0%
2024-01-07,에브리씽 에브리웨어 올 앳 원스,123,3.2%,0.0%
2024-01-07,무방비 도시,212,11.7%,0.0%
2024-01-07,날씨의 아이,128,7.8%,0.0%
2024-01-07,너의 이름은.,168,0.5%,0.0%
2024-01-07,엘리자벳과 나,98,0.0%,0.0%
2024-01-07,마에스트로 번스타인,152,4.6%,0.0%
2024-01-07,스즈메의 문단속,274,2.9%,0.0%
2024-01-07,키리에의 노래: 디렉터스 컷,148,4.0%,0.0%
2024-01-07,"여름을 향한 터널, 이별의 출구",126,0.7%,0.0%
2024-01-07,거울 속 외딴 성,123,1.6%,0.0%
2024-01-08,위시,699910,6.6%,31.5%
2024-01-08,인투 더 월드,200,100.0%,0.0%
2024-01-08,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,114106,9.0%,5.1%
2024-01-08,괴물,36715,9.2%,1.6%
2024-01-08,더 퍼스트 슬램덩크,48207,7.2%,2.1%
2024-01-08,아쿠아맨과 로스트 킹덤,84424,6.8%,3.8%
2024-01-08,트롤: 밴드 투게더,35491,6.0%,1.6%
2024-01-08,말하고 싶은 비밀,10262,8.3%,0.4%
2024-01-08,크레센도,11350,7.3%,0.5%
2024-01-08,류이치 사카모토: 오퍼스,16372,4.5%,0.7%
2024-01-08,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",14800,4.7%,0.6%
2024-01-08,사랑은 낙엽을 타고,3479,9.7%,0.1%
2024-01-08,리빙: 어떤 인생,2612,7.5%,0.1%
2024-01-08,클레오의 세계,5071,5.4%,0.2%
2024-01-08,그대들은 어떻게 살 것인가,2292,5.9%,0.1%
2024-01-08,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,459,3.0%,0.0%
2024-01-08,덤 머니,126,100.0%,0.0%
2024-01-08,힐마 아프 클린트 - 미래를 위한 그림,432,15.5%,0.0%
2024-01-08,피아니스트의 전설,1043,7.8%,0.0%
2024-01-08,쏘우 X,778,9.6%,0.0%
2024-01-08,티처스 라운지,1654,5.5%,0.0%
2024-01-08,이터널 선샤인,100,49.0%,0.0%
2024-01-08,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,652,6.4%,0.0%
2024-01-08,드라이브 마이 카,480,16.2%,0.0%
2024-01-08,노 엑시트,84,47.6%,0.0%
2024-01-08,나폴레옹,1537,5.9%,0.0%
2024-01-08,몽고의 란,780,12.3%,0.0%
2024-01-08,콰이강의 다리,900,20.4%,0.0%
2024-01-08,와일드 투어,100,33.0%,0.0%
2024-01-08,릴리 슈슈의 모든 것,116,6.0%,0.0%
2024-01-08,블루 자이언트,123,10.5%,0.0%
2024-01-08,기인들,340,15.2%,0.0%
2024-01-08,조이랜드,353,8.4%,0.0%
2024-01-08,사랑의 스잔나,1104,1.9%,0.0%
2024-01-08,날씨의 아이,128,5.4%,0.0%
2024-01-08,"그리고, 살아간다",853,1.7%,0.0%
2024-01-08,프로메어,116,1.7%,0.0%
2024-01-08,토스카,632,3.3%,0.0%
2024-01-08,너의 이름은.,168,1.1%,0.0%
2024-01-08,러브레터,52,57.6%,0.0%
2024-01-08,엔니오: 더 마에스트로,120,0.8%,0.0%
2024-01-08,샤인 리마스터링,94,11.7%,0.0%
2024-01-08,2만 종의 벌,499,2.4%,0.0%
2024-01-08,열정,40,47.5%,0.0%
2024-01-08,가버나움,91,31.8%,0.0%
2024-01-08,엘리자벳과 나,30,13.3%,0.0%
2024-01-08,우연과 상상,40,55.0%,0.0%
2024-01-08,프레디의 피자가게,64,7.8%,0.0%
2024-01-08,하늘의 푸르름을 아는 사람이여,168,1.1%,0.0%
2024-01-08,코르사주,91,12.0%,0.0%
2024-01-08,거울 속 외딴 성,123,5.6%,0.0%
2024-01-08,키리에의 노래: 디렉터스 컷,148,1.3%,0.0%
2024-01-08,견왕: 이누오,128,2.3%,0.0%
2024-01-08,애스터로이드 시티,120,2.5%,0.0%
2024-01-08,"여름을 향한 터널, 이별의 출구",126,1.5%,0.0%
2024-01-08,남편 옆에서 사장님 씨를 잔뜩 품었다,83,1.2%,0.0%
2024-01-08,마사지사의 질좋은 허리돌림,83,1.2%,0.0%
2024-01-08,새아들 정력 미쳤다,83,1.2%,0.0%
2024-01-08,즙 잘 뽑는 가정부,83,1.2%,0.0%
2024-01-09,위시,680701,6.2%,31.0%
2024-01-09,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,118647,8.1%,5.4%
2024-01-09,괴물,36050,10.2%,1.6%
2024-01-09,더 퍼스트 슬램덩크,47547,6.8%,2.1%
2024-01-09,아쿠아맨과 로스트 킹덤,85893,6.6%,3.9%
2024-01-09,트롤: 밴드 투게더,34879,7.3%,1.5%
2024-01-09,말하고 싶은 비밀,11638,8.3%,0.5%
2024-01-09,크레센도,10985,6.4%,0.5%
2024-01-09,류이치 사카모토: 오퍼스,16959,4.7%,0.7%
2024-01-09,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",14371,5.3%,0.6%
2024-01-09,사랑은 낙엽을 타고,3357,10.4%,0.1%
2024-01-09,리빙: 어떤 인생,2985,8.6%,0.1%
2024-01-09,클레오의 세계,5873,4.8%,0.2%
2024-01-09,그대들은 어떻게 살 것인가,2640,5.8%,0.1%
2024-01-09,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,897,11.8%,0.0%
2024-01-09,라이즈,126,100.0%,0.0%
2024-01-09,힐마 아프 클린트 - 미래를 위한 그림,935,13.2%,0.0%
2024-01-09,이브의 모든 것,1200,13.5%,0.0%
2024-01-09,피아니스트의 전설,1825,6.6%,0.0%
2024-01-09,쏘우 X,557,14.0%,0.0%
2024-01-09,티처스 라운지,1992,8.2%,0.0%
2024-01-09,이터널 선샤인,104,50.9%,0.0%
2024-01-09,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,331,7.2%,0.0%
2024-01-09,드라이브 마이 카,510,9.0%,0.0%
2024-01-09,나폴레옹,1651,7.8%,0.0%
2024-01-09,몽고의 란,780,8.3%,0.0%
2024-01-09,와일드 투어,104,24.0%,0.0%
2024-01-09,릴리 슈슈의 모든 것,128,3.1%,0.0%
2024-01-09,호두까기 인형,620,7.2%,0.0%
2024-01-09,스노우 폭스: 썰매개가 될 거야!,102,62.7%,0.0%
2024-01-09,블루 자이언트,123,3.2%,0.0%
2024-01-09,폼페이 최후의 날,759,7.6%,0.0%
2024-01-09,기인들,340,15.2%,0.0%
2024-01-09,조이랜드,1257,0.6%,0.0%
2024-01-09,사랑의 스잔나,925,2.7%,0.0%
2024-01-09,날씨의 아이,168,1.7%,0.0%
2024-01-09,"그리고, 살아간다",576,1.5%,0.0%
2024-01-09,프로메어,128,5.4%,0.0%
2024-01-09,너의 이름은.,148,6.0%,0.0%
2024-01-09,타오르는 여인의 초상,91,58.2%,0.0%
