movie_id,title_ko,title_en,online_open,theater_open,lifetime_vod,first_year_vod,first_year_note,peak_share,n_years
FS19900127,햄버거 힐,Hamberger Hill,1990-01-26,,1667,0,,0.157,2
FS20180077,파이널리스트,Imposed Piece,2019-01-24,,1667,1667,,0.332,1
FS20213023,새엄마의 야한 부르마,Volleyball Step-Mom,2022-01-12,,1667,0,,0.888,1
FS20240723,니 와이프 간수 잘해!,,,,1667,1667,,0.74,1
FS19960019,그들만의 세상,Kill The Love,1996-10-19,,1666,0,,0.376,1
FS20000295,쿤둔,Kundun,2020-10-12,2000-11-18,1666,1287,,0.325,2
FS20226124,도화선 2,Hard Hit,2022-08-01,,1666,1666,partial(<12mo data),0.663,1
FS20211287,형수 안에 들락날락,,2021-10-26,,1666,0,,0.97,1
FS20133598,12 라운드 2,12 Rounds: Reloaded,,,1665,1665,partial(<12mo data),0.394,1
FS20050018,숨바꼭질,Hide And Seek,2005-02-25,,1665,0,,0.216,3
FS20195721,빛이 있으라,Let There Be Light,2019-11-07,,1664,1620,,0.354,1
FS20225812,킬러 샤크,Killer Shark,2022-07-18,,1664,1664,partial(<12mo data),0.59,1
FS20081334,바빌론 A.D.,Babylon A.D.,2008-10-02,,1663,0,,0.358,2
FS20148768,솔리드 스테이트,Solid State,,,1663,1663,partial(<12mo data),0.507,1
FS20150643,악령의 재림 13-13-13,13/13/13,2015-12-23,,1663,1600,,0.408,2
FS19920056,고독한 실력자,The Lonely Man Of Influence,1992-09-26,,1663,0,,0.291,1
FS20203284,예비며느리,,2020-08-05,,1663,1663,partial(<12mo data),0.354,1
FS20180743,스윈들러,SWINDLER,2020-10-07,2020-10-08,1663,1663,partial(<12mo data),0.576,1
FS20135788,희망 언덕 부부전쟁,KIBOUGAOKA WAR,,,1662,658,,0.383,2
FS19980042,바이 준,Bye June,1998-03-28,,1662,0,,0.209,2
FS20177095,아내의 101번째 결혼 무삭제판,,2017-12-11,2017-12-07,1662,1658,,0.294,1
FS19960090,투 다이 포,To Die For,2019-08-23,1996-02-10,1661,1357,partial(<12mo data),0.576,2
FS20150458,킬 미 달링,The Surprise,2016-01-28,,1661,1661,,0.373,1
FS20225779,F1: 분노의 질주,Furious One,2022-06-29,,1661,1661,partial(<12mo data),0.38,1
FS20131801,공룡 - 파타고니아의 거인,Dinosaurs: Giants Of Patagonia,,,1660,1119,,0.218,2
FS20224136,원나잇 인 프랑스,The Night Belongs to Lovers,,,1660,754,,0.242,3
FS2024A154,중화영웅 : 풍운재기,A Man Called Hero,,,1660,1647,,0.501,2
FS20141783,맵 투 더 스타,Maps To The Stars,2014-12-25,,1659,1647,,0.602,1
FS20030069,앤트원 피셔,Antwone Fisher,2003-05-30,,1659,0,,0.241,2
FS20224632,물괴: 검은숲의 비밀,Water Monster 2,2022-07-28,,1659,1659,partial(<12mo data),0.614,1
FS20241995,아내 보다 더 좋은 동창 유부녀 가랭이,,,,1659,1659,,0.624,1
FS20134728,베이비 메이커스,The Babymakers,2013-01-31,,1658,1387,,0.497,2
FS20168342,헤픈젤: 비밀의 몸캠,,2017-02-15,,1658,1526,partial(<12mo data),0.362,1
FS20181166,기도하는 남자,Pray,2020-02-20,,1658,1658,partial(<12mo data),0.465,1
FS20224391,데스위시 더 게임,Survive the Game,2022-04-26,2022-04-28,1658,1658,partial(<12mo data),0.493,1
FS20226262,참을 수 없는 스타킹의 맛,TAITOSUKA-TO,,,1658,930,,0.35,2
FS20162575,천하무림불패,Yu Baosi,2017-03-16,,1657,1657,partial(<12mo data),0.381,1
FS20198824,딸의 친구 3 - 무삭제판,,2019-06-11,,1657,1657,partial(<12mo data),0.45,1
FS2023C163,스몰 월드,Small World,2023-04-25,,1657,1657,partial(<12mo data),0.349,1
FS20100702,요녀전설: 사악한 욕망,Legend Of Siren Xx,2010-07-12,,1656,0,,0.176,2
FS20157281,H컵 젊은 과부의 짜릿한 컴백,LUSTY APARTMENT,2015-02-26,,1656,1084,,0.17,2
FS20177565,정사:친구의 새엄마,Tomodatino Okasan,2017-12-07,,1656,1640,,0.214,1
