검수(포함Y/제외N),유형수동태그,movieCd,제목,영문명,제작연도,개봉일,재개봉일,국적,유형,장르,등급,러닝타임,감독,미개봉여부,편입사유,요약정보
,,20124608,사도유혹,Temptation Summary II,1991,,,홍콩,장편,,,90분 0초,하번,Y,키워드:사도,장편 | 일반영화 | 90분 0초 | 홍콩
,,20135638,사랑의 기도 - 아들을 위하여,...First Do No Harm,1997,,,미국,장편,드라마,,120분 0초,짐 에이브러햄스,Y,키워드:기도,장편 | 일반영화 | 드라마 | 120분 0초 | 미국
,,19598033,사랑의 십자가,,1959,,,,일반영화,,,,,Y,키워드:십자가,일반영화 |
,,19468019,삶과 죽음의 문제,A Matter of Life and Death,1946,,,영국,장편,"멜로/로맨스, 판타지, 코미디",,104분 0초,"마이클 파웰 , 에메릭 프레스버거",Y,키워드:천국,"장편 | 예술영화 | 멜로/로맨스, 판타지, 코미디 | 104분 0초 | 영국"
,,20245615,삶이 회복이다,Life Is Recovery,2022,,,한국,단편,다큐멘터리,,17분 0초,,Y,필수:회복,"단편 | 일반영화 | 다큐멘터리 | 17분 0초 | 한국 | 한글자막(CC) , 화면해설(AD)"
,,20241531,새들의 천국,Birds Paradise,2023,,,기타,단편,다큐멘터리,,14분 0초,,Y,키워드:천국,단편 | 일반영화 | 다큐멘터리 | 14분 0초 | 기타
,,19758012,성서의 영웅 모세,Moses / Moses the Lawgiver,1975,,,,일반영화,,,141분 0초,,Y,키워드:모세,일반영화 | 141분 0초 |
,,20242281,성스러운 이들을 위한 기도,Prayers For Sweet Waters,2021,,,영국(1),단편,다큐멘터리,,16분 0초,,Y,키워드:기도,"단편 | 일반영화 | 다큐멘터리 | 16분 0초 | 영국, 남아프리카공화국"
,,20190926,섹션4.누구에게나 친절한 교회오빠 강민호-단편모음(책과 영화의 만남),,2019,,,한국,옴니버스,기타,,98분 0초,,Y,필수:교회오빠,옴니버스 | 일반영화 | 기타 | 98분 0초 | 한국
,,19658077,순교자,The Martyred,1965,,,한국,장편,드라마,,131분 0초,유현목,Y,키워드:순교,장편 | 일반영화 | 드라마 | 131분 0초 | 한국
,,20149505,슈우웅,Shoooo,2014,,,한국,단편,"SF, 드라마, 가족",,22분 9초,임철,Y,키워드:천국,"단편 | 일반영화 | SF, 드라마, 가족 | 22분 9초 | 한국"
,,20166137,시간 에이전트,The Time Agent,2015,,,한국,단편,드라마,,30분 0초,전주영,Y,키워드:천국,단편 | 일반영화 | 드라마 | 30분 0초 | 한국
,,20128035,"신이시여, 소샤나는 그렇게 천국에 갔답니다",Ve'ahavta or: How Shoshana Zaligman Went to Heaven,2011,,,이스라엘,단편,애니메이션,,6분 0초,,Y,키워드:천국,단편 | 일반영화 | 애니메이션 | 6분 0초 | 이스라엘
,,20259538,십자가 아래서,Under the Cross,2024,,,한국,단편,드라마,,21분 15초,오요한,Y,키워드:십자가,단편 | 일반영화 | 드라마 | 21분 15초 | 한국
,,20210871,쓰레기 도시의 리프,City of Lost Things,2020,,,대만,장편,애니메이션,,91분 0초,이치엔,Y,키워드:기도,장편 | 일반영화 | 애니메이션 | 91분 0초 | 대만
,,20223523,아이고 하나님 감사합니다,,2021,,,한국,단편,드라마,,13분 0초,,Y,키워드:하나님,단편 | 일반영화 | 드라마 | 13분 0초 | 한국
,,20240981,아침기도,Morning Prayer,2023,,,한국,단편,다큐멘터리,,13분 0초,,Y,키워드:기도,단편 | 일반영화 | 다큐멘터리 | 13분 0초 | 한국
,,20166133,안 죽을지도 몰라,Cliché Resistance,2016,,,한국,단편,드라마,,18분 0초,이원근,Y,키워드:천국,단편 | 일반영화 | 드라마 | 18분 0초 | 한국
,,20170789,안양국제청소년영화제 국제경쟁 1,International Competition 1,2017,,,기타,옴니버스,기타,,,,Y,필수:사일런스,옴니버스 | 일반영화 | 기타 | 기타
,,20233181,알리스 기 작품선,,2023,,,프랑스,옴니버스,기타,,,,Y,키워드:예수,옴니버스 | 일반영화 | 기타 | 프랑스
,,20223700,어 차일드 인 사일런스,A Child in Silence.,2021,,,한국,단편,"공포(호러), 스릴러, 미스터리",,14분 25초,,Y,필수:사일런스,"단편 | 일반영화 | 공포(호러), 스릴러, 미스터리 | 14분 25초 | 한국"
,,20255384,여기도 곧 망할 카페입니까?,,2022,,,한국,단편,애니메이션,,3분 55초,하주안,Y,키워드:기도,단편 | 일반영화 | 애니메이션 | 3분 55초 | 한국
